metric,count,mean,std,min,25%,median,75%,max
institutions_count,376.0,78.69946808510639,102.84192452359257,1.0,27.75,41.0,81.25,816.0
institutions_with_student_data,376.0,73.37765957446808,101.18801473613925,0.0,25.0,41.0,65.5,816.0
student_coverage_share,376.0,0.9151251183182496,0.23552622459129535,0.0,1.0,1.0,1.0,1.0
total_students,360.0,722014.0684875071,1347249.5666070753,541.0,72230.25,270153.5,533275.0,8296959.0
avg_observed_institution_size,360.0,7235.045707323224,6892.149748902941,385.0,3235.3984268125855,5315.9860798197615,8849.968094405594,41540.5
students_per_registered_institution,360.0,6911.953399590323,6820.088764947553,270.5,2782.4218142968143,5056.0824444979735,8118.217758985201,40647.155913978495
median_institution_size,360.0,3563.9333814568163,3929.525162548328,0.0,909.375,1975.9932837845,4766.5,15557.5
isced5_share,285.0,0.0367742687675031,0.07606415788081838,0.0,0.0,0.0,0.04237339267524853,0.4110122185674872
isced6_share,285.0,0.6889683887981682,0.09392847073243668,0.3930635838150289,0.6346147617968066,0.6940094995575301,0.7551092914664682,0.8940201153053066
isced7_share,285.0,0.22569652685591243,0.07745879224801247,0.038149667707237093,0.16894423745227388,0.23381427179290418,0.27127525852878526,0.4701059104885548
isced8_share,285.0,0.04856081557841628,0.037087030221433184,0.0015196384039900248,0.030269663004943884,0.040342529288487305,0.057526978791961225,0.2710843373493976
foreign_students_share,308.0,0.15058801208800493,0.1821980195789987,0.0,0.0562755922020958,0.08869440584156654,0.15110352279588532,0.9236641221374046
student_staff_ratio,263.0,13.848043393167643,4.472100501965004,4.374468085106383,10.871447219190227,13.87452310300975,16.23748920299913,42.89125986553639
revenue_per_student_ppp,246.0,12441.297482153737,6558.453125096766,0.0,8874.193479801592,10925.597319004528,13777.858285319835,36408.58963485725
expenditure_per_student_ppp,249.0,11609.937448691191,6174.3545876017415,0.0,7766.854187325011,10146.598603971857,12865.363000982668,32813.26352295299
rd_expenditure_per_student_ppp,254.0,2375.3078704007735,4281.773350115436,0.0,0.0,2.4877869915644544,2835.796215048995,25652.258764604645
