country_code,year,records,institutions_count,total_students,students_isced5_7_total,students_isced8,mean_observed_institution_size,median_institution_size,min_institution_size,max_institution_size,foreign_students,academic_personnel_fte,total_personnel_fte,total_current_revenues_eur,total_current_expenditure_eur,total_current_revenues_ppp,total_current_expenditure_ppp,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,avg_institution_size,foreign_students_share,student_staff_ratio,revenue_per_student_eur,expenditure_per_student_eur,revenue_per_student_ppp,expenditure_per_student_ppp
AD,2017,2,2,,,,,,,,,,,,,,,0,0.0,,,,,,,,,
AD,2018,2,2,541.0,519.0,22.0,541.0,541.0,541.0,541.0,,,,3343654.0,3343654.0,3588882.329580216,3588882.329580216,1,0.5,541.0,270.5,270.5,,,6180.506469500924,6180.506469500924,6633.793585176,6633.793585176
AD,2019,2,2,569.0,546.0,23.0,569.0,569.0,569.0,569.0,,,,3574855.0,3574855.0,3848548.36556556,3848548.36556556,1,0.5,569.0,284.5,284.5,,,6282.697715289983,6282.697715289983,6763.705387637187,6763.705387637187
AD,2020,2,2,547.0,524.0,23.0,547.0,547.0,547.0,547.0,,,,3743096.0,3743096.0,3944032.6304221153,3944032.6304221153,1,0.5,547.0,273.5,273.5,,,6842.954296160878,6842.954296160878,7210.297313385951,7210.297313385951
AD,2021,1,1,629.0,610.0,19.0,629.0,629.0,629.0,629.0,,,,3749057.0,3749057.0,4063833.408126676,4063833.408126676,1,1.0,629.0,629.0,629.0,,,5960.344992050875,5960.344992050875,6460.784432633825,6460.784432633825
AD,2022,1,1,674.0,651.0,23.0,674.0,674.0,674.0,674.0,,,,3982353.0,3982353.0,4395770.852949001,4395770.852949001,1,1.0,674.0,674.0,674.0,,,5908.535608308605,5908.535608308605,6521.9152120905055,6521.9152120905055
AD,2023,1,1,675.0,651.0,24.0,675.0,675.0,675.0,675.0,,,,4488648.0,4488648.0,5038047.028452775,5038047.028452775,1,1.0,675.0,675.0,675.0,,,6649.848888888889,6649.848888888889,7463.7733754855935,7463.7733754855935
AL,2013,38,38,163530.0,163530.0,,4672.285714285715,730.0,20.0,37650.0,,,,,,,,35,0.9210526315789473,4672.285714285715,4303.421052631579,4303.421052631579,,,,,,
AL,2014,38,38,163530.0,163530.0,0.0,4303.421052631579,692.5,0.0,37650.0,0.0,,,,,,,38,1.0,4303.421052631579,4303.421052631579,4303.421052631579,0.0,,,,,
AL,2015,40,40,146075.0,143545.0,2530.0,3651.875,760.0,0.0,30470.0,,,,,,,,40,1.0,3651.875,3651.875,3651.875,,,,,,
AL,2016,40,40,139575.0,137890.0,1685.0,3489.375,742.5,0.0,28395.0,,,,,,,,40,1.0,3489.375,3489.375,3489.375,,,,,,
AL,2017,40,40,131833.0,130421.0,1412.0,3295.825,905.0,0.0,26785.0,2108.0,,,,,,,40,1.0,3295.825,3295.825,3295.825,0.015989926649624904,,,,,
AL,2018,41,41,139043.0,137178.0,1865.0,3391.2926829268295,941.0,0.0,29460.0,2270.0,,,,,,,41,1.0,3391.2926829268295,3391.2926829268295,3391.2926829268295,0.016325884798227885,,,,,
AL,2019,41,41,130264.0,128124.0,2140.0,3177.170731707317,957.0,0.0,28550.0,2246.0,,,,,,,41,1.0,3177.170731707317,3177.170731707317,3177.170731707317,0.01724190873917583,,,,,
AL,2022,41,41,,,,,,,,,,,,,,,0,0.0,,,,,,,,,
AL,2023,40,40,,,,,,,,,,,,,,,0,0.0,,,,,,,,,
AT,2013,24,24,284145.0,259720.0,24425.0,11839.375,5202.5,345.0,84125.0,70075.0,21515.0,34725.0,3735010228.33,3460355958.4290004,3382272979.3170276,3133557270.6707478,24,1.0,11839.375,11839.375,11839.375,0.24661704411480054,13.20683244248199,13144.733246511463,12178.134256907566,11903.3344923086,11028.021857399382
AT,2014,69,69,356895.0,332830.0,24065.0,5172.391304347826,1765.0,60.0,84000.0,82945.0,30505.0,46160.0,3807408440.52,3545769114.98,3416340000.6460466,3181574304.3599195,69,1.0,5172.391304347826,5172.391304347826,5172.391304347826,0.23240729065971785,11.699557449598426,10668.147327701425,9935.048445565222,9572.395244108342,8914.594780985779
AT,2015,69,69,362415.0,338905.0,23510.0,5252.391304347826,1805.0,100.0,85100.0,86430.0,31540.0,46050.0,3926521198.71,3684750478.89,3534349750.4050555,3316726505.805789,69,1.0,5252.391304347826,5252.391304347826,5252.391304347826,0.2384835064773809,11.490646797717185,10834.323079094409,10167.212943421215,9752.217072706857,9151.736285213881
AT,2016,69,69,362740.0,339870.0,22870.0,5257.101449275362,1975.0,120.0,80885.0,89300.0,31765.0,46530.0,4019123018.14,3741945335.52,3593475808.610131,3345652765.452188,69,1.0,5257.101449275362,5257.101449275362,5257.101449275362,0.24618183823124,11.41948685660318,11079.900254011138,10315.778065611732,9906.477941804407,9223.28049140483
AT,2017,70,70,363616.25019841,343222.876677502,20393.373520907997,5194.517859977286,1812.0207542455,149.2,78296.31176157799,92090.616233764,24167.562700000002,47659.248,3983896070.9400005,3811716225.54,3530852399.5533133,3378252630.518209,70,1.0,5194.517859977286,5194.517859977286,5194.517859977286,0.2532632031255865,15.045631812860051,10956.32021056858,10482.799444359562,9710.381198933426,9290.708621176416
AT,2018,70,70,357628.380952383,338263.153307806,19365.227644577,5108.976870748328,1804.8369544875,142.366666667,79542.14215751398,92528.915860601,24910.1488,49048.42360000001,4177365546.2099996,4013778356.619999,3701074295.165191,3556138848.239995,70,1.0,5108.976870748328,5108.976870748328,5108.976870748328,0.25872923064492725,14.356734029319929,11680.743947349642,11223.321666840586,10348.938988871738,9943.67068622969
AT,2019,72,72,357818.26190475497,338808.076997996,19010.184906759,4969.698082010486,1886.719233128,14.833333333,78419.22915227301,94804.289199993,22500.688446,47096.83534600001,4329073201.130001,4201726005.1899996,3813388653.515147,3701211212.8731627,72,1.0,4969.698082010485,4969.698082010485,4969.698082010485,0.2649509521826146,15.902547282652819,12098.52503917848,11742.625943190194,10657.33379066663,10343.829834650422
AT,2020,73,73,372918.84999998996,353504.040129306,19414.809870684,5108.477397260136,1872.083333333,63.5,80603.22638979499,102025.25394999201,23464.2828,49172.65580000001,4429607399.85,4283403575.2400002,3882725511.548407,3754572095.577859,73,1.0,5108.477397260136,5108.477397260136,5108.477397260136,0.27358567138666967,15.893042765406406,11878.20728249623,11486.154629191084,10411.716950077776,10068.067343814773
AT,2021,73,73,374179.787698408,354204.36225522,19975.425443188,5125.750516416548,1976.986567569,124.7,79109.638151553,107121.64985908601,24153.603666666666,50596.263166666664,4731879373.9,4496352412.799999,4190136611.4107094,3981574629.0146914,73,1.0,5125.750516416548,5125.750516416548,5125.750516416548,0.28628390250043906,15.491675398102073,12646.004753506177,12016.556106510212,11198.190680432996,10640.806264564651
AT,2022,74,74,372900.51428570005,352937.51630073,19962.99798497,5039.196138995946,2100.5229064325,60.0,75040.782939129,109661.81367575201,23825.4962,50870.15640000001,4886550764.299999,4712638863.12,4387436040.349806,4231287587.2001147,74,1.0,5039.196138995947,5039.196138995947,5039.196138995947,0.29407793627158674,15.651322060847573,13104.167404167585,12637.791267590965,11765.701232013707,11346.960985841622
AT,2023,76,76,380064.1666666621,359967.2274775191,20096.939189143,5000.844298245553,1926.2061452995,56.5,74617.35040465699,116611.60677499001,23552.238299999997,51692.7867,5342004968.299999,5235187395.0599985,4735400202.375676,4640712166.52779,76,1.0,5000.844298245554,5000.844298245554,5000.844298245554,0.30682083974852864,16.13707206192212,14055.534398709156,13774.48298000573,12459.47557726191,12210.338604738707
BE,2014,65,65,245180.0,233555.0,11625.0,10660.0,7290.0,620.0,50445.0,21665.0,23425.0,33240.0,2980523927.86,2658103935.39,2669643896.152985,2380853540.588473,23,0.35384615384615387,10660.0,3772.0,3772.0,0.08836365119504037,10.466595517609392,12156.472501264378,10841.438679296843,10888.5059799045,9710.635209187018
BE,2015,64,64,249010.0,236190.0,12820.0,11318.636363636364,8070.0,680.0,50385.0,23975.0,23380.0,33305.0,3071408124.45,2744734580.0699997,2760543339.040634,2466933229.136894,22,0.34375,11318.636363636364,3890.78125,3890.78125,0.09628127384442392,10.650556030795551,12334.477026826231,11022.587767840647,11086.074210034272,9906.964495951544
BE,2016,63,63,242920.0,230660.0,12260.0,11041.818181818182,7872.5,585.0,49395.0,21555.0,23570.0,33755.0,3119534017.04,2788881367.77,2774571537.7513714,2480482925.6268177,22,0.3492063492063492,11041.818181818182,3855.873015873016,3855.873015873016,0.08873291618639881,10.306321595248196,12841.816305944343,11480.65769706076,11421.750114240784,10211.110347549884
BE,2017,149,149,451413.0,431433.0,19980.0,7165.285714285715,4257.0,55.0,50708.0,66278.0,26123.9963,43270.3842,3193176466.99,2879254294.2500005,2827771795.566852,2549772669.851756,63,0.4228187919463087,7165.285714285715,3029.6174496644294,3029.6174496644294,0.14682341890906997,17.27963037569409,7073.736172839505,6378.314967114373,6264.267523458235,5648.4254327007775
BE,2018,149,149,456054.0,435442.0,20612.0,7238.952380952381,4036.0,53.0,51463.0,68351.0,26585.215299999996,44238.2001,3365909717.3999996,3033892718.6099997,2978233113.071485,2684456956.5729055,63,0.4228187919463087,7238.952380952381,3060.7651006711408,3060.7651006711408,0.1498747955285997,17.154421916605656,7380.506951808337,6652.485711363127,6530.439625727403,5886.269951744543
