country_code,year,records_count,institutions_count,total_students,students_total_calc,students_total_with_observed_isced8,students_total_component_sum_complete_records,students_total_component_sum_incomplete_records,students_total_component_sum_incomplete_students,students_isced5,students_isced6,students_isced7,students_isced8,foreign_students_total,foreign_students_total_with_observed_isced8,foreign_total_component_sum_complete_records,foreign_total_component_sum_incomplete_records,foreign_total_component_sum_incomplete_students,foreign_students_isced5,foreign_students_isced6,foreign_students_isced7,foreign_students_isced8,academic_personnel_fte,total_personnel_fte,support_admin_personnel_fte,total_revenues_eur,total_revenues_ppp,total_expenditure_eur,total_expenditure_ppp,third_party_funding_eur,third_party_funding_ppp,rd_expenditure_eur,rd_expenditure_ppp,mean_institution_size,median_institution_size,min_institution_size,max_institution_size,cities_count,records_with_complete_isced_structure,institutions_with_student_data,complete_isced_structure_share,isced_shares_reliable,isced_structure_coverage_flag,student_coverage_share,students_total_component_sum_incomplete_share,foreign_total_component_sum_incomplete_share,students_total_reliable,total_students_reliable,isced5_share_observed,isced5_share_reliable,isced5_share,foreign_students_isced5_share,isced6_share_observed,isced6_share_reliable,isced6_share,foreign_students_isced6_share,isced7_share_observed,isced7_share_reliable,isced7_share,foreign_students_isced7_share,isced8_share_observed,isced8_share_reliable,isced8_share,foreign_students_isced8_share,phd_share,phd_share_observed,phd_share_reliable,avg_observed_institution_size,students_per_registered_institution,avg_institution_size,foreign_students_share_aggregate_unmatched,foreign_students_share_pair_numerator,foreign_students_share_pair_denominator,foreign_students_share_pair_records,foreign_students_share_pair_institutions,foreign_students_share,foreign_students_share_pair_record_coverage,foreign_students_share_denominator_coverage,student_staff_ratio_aggregate_unmatched,student_staff_ratio_pair_numerator,student_staff_ratio_pair_denominator,student_staff_ratio_pair_records,student_staff_ratio_pair_institutions,student_staff_ratio,student_staff_ratio_pair_record_coverage,student_staff_ratio_denominator_coverage,revenue_per_student_eur_aggregate_unmatched,revenue_per_student_eur_pair_numerator,revenue_per_student_eur_pair_denominator,revenue_per_student_eur_pair_records,revenue_per_student_eur_pair_institutions,revenue_per_student_eur,revenue_per_student_eur_pair_record_coverage,revenue_per_student_eur_denominator_coverage,revenue_per_student_ppp_aggregate_unmatched,revenue_per_student_ppp_pair_numerator,revenue_per_student_ppp_pair_denominator,revenue_per_student_ppp_pair_records,revenue_per_student_ppp_pair_institutions,revenue_per_student_ppp,revenue_per_student_ppp_pair_record_coverage,revenue_per_student_ppp_denominator_coverage,expenditure_per_student_eur_aggregate_unmatched,expenditure_per_student_eur_pair_numerator,expenditure_per_student_eur_pair_denominator,expenditure_per_student_eur_pair_records,expenditure_per_student_eur_pair_institutions,expenditure_per_student_eur,expenditure_per_student_eur_pair_record_coverage,expenditure_per_student_eur_denominator_coverage,expenditure_per_student_ppp_aggregate_unmatched,expenditure_per_student_ppp_pair_numerator,expenditure_per_student_ppp_pair_denominator,expenditure_per_student_ppp_pair_records,expenditure_per_student_ppp_pair_institutions,expenditure_per_student_ppp,expenditure_per_student_ppp_pair_record_coverage,expenditure_per_student_ppp_denominator_coverage,third_party_funding_per_student_ppp_aggregate_unmatched,third_party_funding_per_student_ppp_pair_numerator,third_party_funding_per_student_ppp_pair_denominator,third_party_funding_per_student_ppp_pair_records,third_party_funding_per_student_ppp_pair_institutions,third_party_funding_per_student_ppp,third_party_funding_per_student_ppp_pair_record_coverage,third_party_funding_per_student_ppp_denominator_coverage,rd_expenditure_per_student_ppp_aggregate_unmatched,rd_expenditure_per_student_ppp_pair_numerator,rd_expenditure_per_student_ppp_pair_denominator,rd_expenditure_per_student_ppp_pair_records,rd_expenditure_per_student_ppp_pair_institutions,rd_expenditure_per_student_ppp,rd_expenditure_per_student_ppp_pair_record_coverage,rd_expenditure_per_student_ppp_denominator_coverage,rd_expenditure_share_of_expenditure_ppp_aggregate_unmatched,rd_expenditure_share_of_expenditure_ppp_pair_numerator,rd_expenditure_share_of_expenditure_ppp_pair_denominator,rd_expenditure_share_of_expenditure_ppp_pair_records,rd_expenditure_share_of_expenditure_ppp_pair_institutions,rd_expenditure_share_of_expenditure_ppp,rd_expenditure_share_of_expenditure_ppp_pair_record_coverage,rd_expenditure_share_of_expenditure_ppp_denominator_coverage
AD,2017,2,2,,,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,,,,,2,0,0,0.0,False,no_complete_records,0.0,0.0,0.0,True,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,
AD,2018,2,2,541.0,44.0,1,0,0,,22.0,,,22.0,,0,0,0,,,,,,,,,3343654.0,3588882.329580216,3343654.0,3588882.329580216,145418.0,156083.16249315746,,,541.0,541.0,541.0,541.0,2,0,1,0.0,False,no_complete_records,0.5,0.0,0.0,True,541.0,,,,,,,,,,,,,,,,,,,,541.0,270.5,270.5,,,,0,0,,0.0,,,,,0,0,,0.0,,6180.506469500924,3343654.0,541.0,1,1,6180.506469500924,0.5,1.0,6633.793585176,3588882.329580216,541.0,1,1,6633.793585176,0.5,1.0,6180.506469500924,3343654.0,541.0,1,1,6180.506469500924,0.5,1.0,6633.793585176,3588882.329580216,541.0,1,1,6633.793585176,0.5,1.0,288.5086182867975,156083.16249315746,541.0,1,1,288.5086182867975,0.5,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,
AD,2019,2,2,569.0,50.0,1,0,0,,27.0,,,23.0,,0,0,0,,,,,,,,,3574855.0,3848548.36556556,3574855.0,3848548.36556556,193947.0,208795.7161497022,,,569.0,569.0,569.0,569.0,2,0,1,0.0,False,no_complete_records,0.5,0.0,0.0,True,569.0,,,,,,,,,,,,,,,,,,,,569.0,284.5,284.5,,,,0,0,,0.0,,,,,0,0,,0.0,,6282.697715289983,3574855.0,569.0,1,1,6282.697715289983,0.5,1.0,6763.705387637187,3848548.36556556,569.0,1,1,6763.705387637187,0.5,1.0,6282.697715289983,3574855.0,569.0,1,1,6282.697715289983,0.5,1.0,6763.705387637187,3848548.36556556,569.0,1,1,6763.705387637187,0.5,1.0,366.95204947223584,208795.7161497022,569.0,1,1,366.95204947223584,0.5,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,
AD,2020,2,2,547.0,23.0,1,0,0,,,,,23.0,,0,0,0,,,,,,,,,3743096.0,3944032.6304221153,3743096.0,3944032.6304221153,265977.0,280255.15961700765,,,547.0,547.0,547.0,547.0,2,0,1,0.0,False,no_complete_records,0.5,0.0,0.0,True,547.0,,,,,,,,,,,,,,,,,,,,547.0,273.5,273.5,,,,0,0,,0.0,,,,,0,0,,0.0,,6842.954296160878,3743096.0,547.0,1,1,6842.954296160878,0.5,1.0,7210.297313385951,3944032.6304221153,547.0,1,1,7210.297313385951,0.5,1.0,6842.954296160878,3743096.0,547.0,1,1,6842.954296160878,0.5,1.0,7210.297313385951,3944032.6304221153,547.0,1,1,7210.297313385951,0.5,1.0,512.3494691352973,280255.15961700765,547.0,1,1,512.3494691352973,0.5,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,
AD,2021,1,1,629.0,19.0,1,0,0,,,,,19.0,,0,0,0,,,,,,,,,3749057.0,4063833.408126676,3749057.0,4063833.408126676,279920.0,303422.50000541983,,,629.0,629.0,629.0,629.0,1,0,1,0.0,False,no_complete_records,1.0,0.0,0.0,True,629.0,,,,,,,,,,,,,,,,,,,,629.0,629.0,629.0,,,,0,0,,0.0,,,,,0,0,,0.0,,5960.344992050875,3749057.0,629.0,1,1,5960.344992050875,1.0,1.0,6460.784432633825,4063833.408126676,629.0,1,1,6460.784432633825,1.0,1.0,5960.344992050875,3749057.0,629.0,1,1,5960.344992050875,1.0,1.0,6460.784432633825,4063833.408126676,629.0,1,1,6460.784432633825,1.0,1.0,482.38871225027,303422.50000541983,629.0,1,1,482.38871225027,1.0,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,
AD,2022,1,1,674.0,23.0,1,0,0,,,,,23.0,,0,0,0,,,,,,,,,3982353.0,4395770.852949001,3982353.0,4395770.852949001,195954.0,216296.4663651787,,,674.0,674.0,674.0,674.0,1,0,1,0.0,False,no_complete_records,1.0,0.0,0.0,True,674.0,,,,,,,,,,,,,,,,,,,,674.0,674.0,674.0,,,,0,0,,0.0,,,,,0,0,,0.0,,5908.535608308605,3982353.0,674.0,1,1,5908.535608308605,1.0,1.0,6521.9152120905055,4395770.852949001,674.0,1,1,6521.9152120905055,1.0,1.0,5908.535608308605,3982353.0,674.0,1,1,5908.535608308605,1.0,1.0,6521.9152120905055,4395770.852949001,674.0,1,1,6521.9152120905055,1.0,1.0,320.914638524004,216296.4663651787,674.0,1,1,320.914638524004,1.0,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,
AD,2023,1,1,675.0,24.0,1,0,0,,,,,24.0,,0,0,0,,,,,,,,,4488648.0,5038047.028452775,4488648.0,5038047.028452775,191909.0,215398.17049217128,,,675.0,675.0,675.0,675.0,1,0,1,0.0,False,no_complete_records,1.0,0.0,0.0,True,675.0,,,,,,,,,,,,,,,,,,,,675.0,675.0,675.0,,,,0,0,,0.0,,,,,0,0,,0.0,,6649.848888888889,4488648.0,675.0,1,1,6649.848888888889,1.0,1.0,7463.7733754855935,5038047.028452775,675.0,1,1,7463.7733754855935,1.0,1.0,6649.848888888889,4488648.0,675.0,1,1,6649.848888888889,1.0,1.0,7463.7733754855935,5038047.028452775,675.0,1,1,7463.7733754855935,1.0,1.0,319.10840072914266,215398.17049217128,675.0,1,1,319.10840072914266,1.0,1.0,,,,0,0,,0.0,,,,,0,0,,0.0,
AL,2013,38,38,163530.0,,0,0,0,,,,,,,0,0,0,,,,,,,,,,,,,,,,,4672.285714285715,730.0,20.0,37650.0,8,0,35,0.0,False,no_complete_records,0.9210526315789473,0.0,0.0,True,163530.0,,,,,,,,,,,,,,,,,,,,4672.285714285715,4303.421052631579,4303.421052631579,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,
AL,2014,38,38,163530.0,0.0,20,0,3,0.0,0.0,,0.0,0.0,0.0,20,0,33,0.0,0.0,,0.0,0.0,,,,,,,,,,,,4303.421052631579,692.5,0.0,37650.0,8,0,38,0.0,False,no_complete_records,1.0,0.0,0.0,True,163530.0,,,,,,,,,,,,,,,,,,,,4303.421052631579,4303.421052631579,4303.421052631579,0.0,0.0,108815.0,30,30,0.0,0.7894736842105263,0.6654130740536904,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,
AL,2015,40,40,146075.0,121040.0,36,0,5,0.0,70.0,85145.0,33295.0,2530.0,,0,0,0,,,,,,,,,,,,,,,0.0,0.0,3651.875,760.0,0.0,30470.0,8,7,40,0.175,False,low,1.0,0.0,0.0,True,146075.0,0.0005783212161269003,,,,0.7034451421017845,,,,0.2750743555849306,,,,0.020902181097157965,,,,,0.020902181097157965,,3651.875,3651.875,3651.875,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,,,,0,0,,0.0,,0.0,0.0,10185.0,16,16,0.0,0.4,0.0697244566147527,,,,0,0,,0.0,
