Підпорядкування,students,institutions
Міністерство освіти і науки України,973872,556
,132146,249
Міністерство охорони здоров`я України,47650,21
Обласна рада,46872,92
Міністерство внутрішніх справ України,16666,9
Міністерство культури України,11560,16
Міська рада,10064,4
Міністерство молоді та спорту України,9602,5
Державна служба України з надзвичайних ситуацій,4562,3
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""УКРАЇНСЬКЕ ОБ’ЄДНАННЯ ЗАКЛАДІВ КООПЕРАТИВНОЇ ОСВІТИ""",4463,4
Департамент освіти і науки виконавчого органу Київської міської ради (Київської міської державної адміністрації),3849,15
Міністерство фінансів України,3538,2
Департамент охорони здоров`я обласної державної адміністрації,3369,9
Обласна державна адміністрація,2996,8
Департамент гуманітарної політики Вінницької обласної державної адміністрації,2572,6
Управління освіти і науки Волинської обласної державної адміністрації,2446,6
Національна академія наук України,2406,107
Управління (головне управління) культури обласної державної адміністрації,2227,8
Департамент освіти і науки Тернопільської обласної державної адміністрації,2195,4
Департамент освіти і науки Харківської обласної державної адміністрації,2050,4
Управління (головне управління) охорони здоров`я обласної державної адміністрації,2002,5
Департамент освіти і науки Львівської обласної державної адміністрації,1869,11
Департамент освіти і науки Одеської обласної державної адміністрації,1852,6
Державна служба статистики України,1744,3
Виконавчий орган Київської міської ради (Київська міська державна адміністрація),1557,2
Національна академія педагогічних наук України,1512,12
Департамент освіти і науки Івано-Франківської обласної державної адміністрації,1441,8
Управління охорони здоров’я Чернігівської обласної державної адміністрації,1420,4
Департамент освіти і науки Київської обласної державної адміністрації,1420,6
Департамент освіти і науки Сумської обласної державної адміністрації,1404,7
Служба безпеки України,1341,1
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ЛЬВІВСЬКА ОБЛСПОЖИВСПІЛКА""",1292,1
Управління освіти і науки Черкаської обласної державної адміністрації,1123,2
ВІННИЦЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,1119,2
Департамент освіти і науки Полтавської обласної державної адміністрації,1047,3
ЖИТОМИРСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,929,1
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ІНСТИТУТ ЛЮДСЬКОГО КАПІТАЛУ ТА СТАЛОГО БІЗНЕСУ""",891,1
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ПОЛТАВСЬКА МІСЬКА СПІЛКА ТОВАРИСТВ""",876,1
Департамент освіти і науки Донецької обласної державної адміністрації,863,5
ЧЕРНІВЕЦЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ (ОБЛСПОЖИВСПІЛКА),855,1
Управління культури і туризму Харківської обласної державної адміністрації,849,3
РІВНЕНСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,822,1
ДНІПРОПЕТРОВСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,819,1
Управління освіти і науки Чернігівської обласної державної адміністрації,784,5
Національна академія аграрних наук України,773,31
"ТОВАРИСТВО З ОБМЕЖЕНОЮ ВІДПОВІДАЛЬНІСТЮ ""ТЕРНОПІЛЬСЬКА ОБЛСПОЖИВСПІЛКА""",704,1
Міністерство юстиції України,695,2
Департамент освіти і науки Чернівецької обласної державної адміністрації,670,4
"Департамент культури, національностей, релігій та охорони об'єктів культурної спадщини облдержадміністрації",648,2
Департаменту культури Закарпатської обласної державної адміністрації,615,1
Департамент освіти і науки Дніпропетровської обласної державної адміністрації,609,7
КІРОВОГРАДСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ (ОБЛСПОЖИВСПІЛКА),599,1
СУМСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,578,1
Департамент освіти і науки Миколаївської обласної державної адміністрації,545,4
ХЕРСОНСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,532,1
ЗАКАРПАТСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,475,1
"Спілка споживчих товариств ""Кооперація Харківщини""",450,1
ВОЛИНСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,442,1
ЧЕРНІГІВСЬКА ОБЛАСНА СПІЛКА СПОЖИВЧИХ ТОВАРИСТВ,397,1
Департамент освіти і науки Житомирської обласної державної адміністрації,384,2
Міністерство оборони України,369,5
Обласне управління охорони здоров`я,338,1
"Управління культури, національностей та релігій обласної державної адміністрації",303,1
Департамент освіти і науки Запорізької обласної державної адміністрації,295,4
"Департамент культури і туризму, національностей та релігій Чернігівської обласної державної адміністрації",270,1
Засновник,203,1
"Управління культури, національностей та релігій Миколаївської обласної державної адміністрації",197,1
Управління освіти і науки Херсонської обласної державної адміністрації,183,2
Національна академія правових наук України,180,5
Національна академія медичних наук України,177,20
Івано-Франківська обласна рада,170,1
Департамент освіти і науки Рівненської обласної державної адміністрації,166,3
Товариство сприяння обороні України,159,1
Департамент поліції охорони,129,1
Управління культури та охорони культурної спадщини Черкаської обласної державної адміністрації,128,1
Адміністрація Державної прикордонної служби України,103,1
Управління (головне управління) освіти і науки державної обласної адміністрації,71,2
Міністерство економічного розвитку і торгівлі України,65,1
"Департамент освіти, культури, молоді та спорту Луганської обласної державної адміністрації",65,1
Департамент освіти та науки Хмельницької обласної державної адміністрації,57,1
"Департамент освіти і науки, молоді та спорту Закарпатської обласної державної адміністрації",33,1
Державне управління справами,32,2
"Міністерство економіки, довкілля та сільського господарства України",25,2
"Департамент освіти, науки та молоді Херсонської обласної державної адміністрації",21,1
Національна академія мистецтв України,15,1
Державне космічне агентство України,13,1
Державне агентство лісових ресурсів України,2,1
Міністерство закордонних справ України,1,1
