Код,Назва закладу освіти,Регіон,Форма власності,Підпорядкування,students,reported_institution_students,rows,degrees,specialties,budget_students,contract_students,budget_share,reported_minus_grouped_students
97,"Національний університет ""Львівська політехніка""",Львівська область,Державна,Міністерство освіти і науки України,30436,30436,475,3,135,14704.0,15732,0.48311210408726507,0
41,Київський національний університет імені Тараса Шевченка,Київ,Державна,Міністерство освіти і науки України,26192,26192,431,4,103,13940.0,12252,0.5322235797189981,0
282,Львівський національний університет імені Івана Франка,Львівська область,Державна,Міністерство освіти і науки України,21885,21885,374,3,106,9805.0,12080,0.44802376056659815,0
174,Національний технічний університет України «Київський політехнічний інститут імені Ігоря Сікорського»,Київ,Державна,Міністерство освіти і науки України,18594,18594,312,3,101,13758.0,4836,0.7399161019683769,0
7,Національний університет біоресурсів і природокористування України,Київ,Державна,Міністерство освіти і науки України,15875,15875,330,3,99,6671.0,9204,0.4202204724409449,0
6594,Державний торговельно-економічний університет,Київ,Державна,Міністерство освіти і науки України,15416,15416,225,3,59,2425.0,12991,0.15730409963674105,0
341,Карпатський національний університет імені Василя Стефаника,Івано-Франківська область,Державна,Міністерство освіти і науки України,14214,14214,415,3,99,4218.0,9996,0.29674968341072183,0
62,Харківський національний університет імені В.Н. Каразіна,Харківська область,Державна,Міністерство освіти і науки України,13412,13412,404,3,105,5309.0,8103,0.39583954667461974,0
61,Чернівецький національний університет імені Юрія Федьковича,Чернівецька область,Державна,Міністерство освіти і науки України,13328,13328,455,3,119,5353.0,7975,0.40163565426170467,0
207,"Державний вищий навчальний заклад ""Ужгородський національний університет""",Закарпатська область,Державна,Міністерство освіти і науки України,12460,12460,449,4,121,4306.0,8154,0.34558587479935793,0
171,Західноукраїнський національний університет,Тернопільська область,Державна,Міністерство освіти і науки України,12142,12142,309,3,95,2594.0,9548,0.21363860978422006,0
6507,Український державний університет науки і технологій,Дніпропетровська область,Державна,Міністерство освіти і науки України,10691,10691,348,3,108,5098.0,5593,0.4768496866523244,0
309,Луцький національний технічний університет,Волинська область,Державна,Міністерство освіти і науки України,10617,10617,312,3,86,3850.0,6767,0.36262597720636713,0
337,КИЇВСЬКИЙ НАЦІОНАЛЬНИЙ ЕКОНОМІЧНИЙ УНІВЕРСИТЕТ ІМЕНІ ВАДИМА ГЕТЬМАНА,Київ,Державна,Міністерство освіти і науки України,10376,10376,140,4,41,1917.0,8459,0.18475327679259831,0
44,Волинський національний університет імені Лесі Українки,Волинська область,Державна,Міністерство освіти і науки України,10124,10124,305,3,103,4256.0,5868,0.4203871987356776,0
104,"Національний технічний університет ""Харківський політехнічний інститут""",Харківська область,Державна,Міністерство освіти і науки України,9959,9959,395,3,110,5974.0,3985,0.5998594236369114,0
249,"Приватне акціонерне товариство ""Вищий навчальний заклад ""Міжрегіональна Академія управління персоналом""",Київ,Приватна,,9505,9505,182,3,42,161.0,9344,0.01693845344555497,0
126,Львівський національний університет ветеринарної медицини та біотехнологій імені С. З. Ґжицького,Львівська область,Державна,Міністерство освіти і науки України,9364,9364,230,3,72,3380.0,5984,0.36095685604442546,0
268,Уманський національний університет,Черкаська область,Державна,Міністерство освіти і науки України,9241,9241,299,3,64,4161.0,5080,0.45027594416188726,0
36,"Національний технічний університет ""Дніпровська політехніка""",Дніпропетровська область,Державна,Міністерство освіти і науки України,9054,9054,306,3,97,3569.0,5485,0.394190413077093,0
7208,Національний університет «Київський авіаційний інститут»,Київ,Державна,Міністерство освіти і науки України,8739,8739,250,3,97,4217.0,4522,0.48254949078841974,0
6704,Український державний університет імені Михайла Драгоманова,Київ,Державна,Міністерство освіти і науки України,8706,8706,366,3,75,2464.0,6242,0.2830232023891569,0
149,Національний медичний університет імені О.О. Богомольця,Київ,Державна,Міністерство охорони здоров`я України,8654,8654,72,4,25,4790.0,3864,0.553501271088514,0
73,Запорізький національний університет,Запорізька область,Державна,Міністерство освіти і науки України,8193,8193,389,3,106,2717.0,5476,0.3316245575491273,0
127,Київський національний університет будівництва і архітектури,Київ,Державна,Міністерство освіти і науки України,8008,8008,223,3,67,3668.0,4340,0.458041958041958,0
