column,missing_count,missing_share
Код головного закладу,36072,0.7819640147409495
Підпорядкування,6397,0.1386733145458487
Регіон,24,0.0005202688055495339
Основа вступу,5,0.00010838933448948623
Станом на,0,0.0
Вечірня (бюджет),0,0.0
row_sum_diff,0,0.0
calculated_row_sum,0,0.0
evening_students,0,0.0
part_time_students,0,0.0
full_time_students,0,0.0
contract_students,0,0.0
budget_students,0,0.0
Сума по закладу,0,0.0
Сума по рядку,0,0.0
Вечірня (контракт),0,0.0
Заочна (бюджет),0,0.0
Заочна (контракт),0,0.0
Освітній ступінь,0,0.0
Денна (контракт),0,0.0
Денна (бюджет),0,0.0
Форма власності,0,0.0
Назва закладу освіти,0,0.0
Код,0,0.0
Спеціалізація,0,0.0
Назва спеціальності,0,0.0
Код спеціальності,0,0.0
row_sum_is_consistent,0,0.0
