Регіон,students,institutions,specialties,budget_students,contract_students,students_per_institution,budget_share
Київ,276163,279,243,96305.0,179858,989.831541218638,0.34872520938720974
Львівська область,123709,85,213,52343.0,71366,1455.4,0.42311392057166414
Харківська область,108718,100,225,48993.0,59725,1087.18,0.4506429478099303
Дніпропетровська область,94969,101,213,49060.0,45909,940.2871287128713,0.5165896239825627
Одеська область,85513,74,198,29826.0,55687,1155.581081081081,0.34878907300644346
Запорізька область,55700,46,179,22717.0,32983,1210.8695652173913,0.4078456014362657
Івано-Франківська область,49942,46,169,20545.0,29397,1085.695652173913,0.411377197549157
Полтавська область,49908,51,173,20533.0,29375,978.5882352941177,0.4114170072934199
Вінницька область,48207,49,172,21086.0,27121,983.8163265306123,0.43740535606862074
Тернопільська область,46536,31,162,20116.0,26420,1501.1612903225807,0.4322674918342788
Волинська область,36830,31,153,15978.0,20852,1188.0645161290322,0.4338311159380939
Черкаська область,35860,33,162,15278.0,20582,1086.6666666666667,0.4260457334076966
Рівненська область,34143,37,167,14547.0,19596,922.7837837837837,0.4260609788243564
Житомирська область,33239,30,164,14098.0,19141,1107.9666666666667,0.4241403170973856
Сумська область,31534,35,170,18287.0,13247,900.9714285714285,0.5799137438954779
Хмельницька область,30438,34,147,11871.0,18567,895.2352941176471,0.39000591366055587
Миколаївська область,29762,35,151,12460.0,17302,850.3428571428572,0.418654660305087
Київська область,28222,43,138,12092.0,16130,656.3255813953489,0.42846006661469777
Закарпатська область,28115,31,158,9156.0,18959,906.9354838709677,0.3256624577627601
Чернівецька область,27826,30,160,11820.0,16006,927.5333333333333,0.42478257744555453
Чернігівська область,20513,31,134,10408.0,10105,661.7096774193549,0.5073855603763467
Кіровоградська область,18639,30,115,8930.0,9709,621.3,0.47910295616717635
Херсонська область,16586,32,154,8598.0,7988,518.3125,0.5183890027734234
Донецька область,15437,39,142,9374.0,6063,395.8205128205128,0.6072423398328691
Луганська область,1010,10,27,696.0,314,101.0,0.689108910891089
,303,2,6,0.0,303,151.5,0.0
