Код спеціальності,Назва спеціальності,students,institutions,regions,degrees,budget_students,contract_students,budget_share
081,Право,58016,288,24,6,5132.0,52884,0.08845835631549917
073,Менеджмент,39985,320,25,5,6291.0,33694,0.15733400025009378
053,Психологія,32806,174,24,4,4306.0,28500,0.13125647747363287
014,Середня освіта,31392,119,24,6,20131.0,11261,0.6412780326197758
D3,Менеджмент,29432,428,25,4,4003.0,25429,0.13600842620277248
C4,Психологія,27336,179,24,3,2209.0,25127,0.08080918934738074
223,Медсестринство,26489,112,25,5,18014.0,8475,0.680055872248858
122,Комп'ютерні науки,26260,184,24,5,13839.0,12421,0.526999238385377
192,Будівництво та цивільна інженерія,25186,135,24,5,14802.0,10384,0.5877074565234655
121,Інженерія програмного забезпечення,25094,173,24,5,13542.0,11552,0.5396509125687415
222,Медицина,24927,58,19,3,15970.0,8957,0.6406707586151562
141,"Електроенергетика, електротехніка та електромеханіка",23848,183,25,5,15079.0,8769,0.6322962093257296
035,Філологія,22871,121,24,4,8197.0,14674,0.35840146910935244
072,"Фінанси, банківська справа, страхування та фондовий ринок",20272,330,24,4,5057.0,15215,0.24945737963693765
051,Економіка,19339,243,25,4,4712.0,14627,0.2436527224778944
D8,Право,18748,162,24,3,1864.0,16884,0.0994239385534457
075,Маркетинг,18266,174,24,4,3548.0,14718,0.1942406657177269
123,Комп’ютерна інженерія,17829,159,25,5,10459.0,7370,0.5866285265578551
076,Підприємництво та торгівля,17141,238,24,4,4797.0,12344,0.2798553176594131
022,Дизайн,16959,118,24,5,5447.0,11512,0.3211863907069992
201,Агрономія,16512,102,24,5,9340.0,7172,0.5656492248062015
133,Галузеве машинобудування,16419,163,25,5,9945.0,6474,0.6057007125890737
A4,Середня освіта,16209,114,24,4,10429.0,5780,0.6434079832191992
071,Облік і оподаткування,16061,308,25,5,4952.0,11109,0.3083245127949692
208,Агроінженерія,15985,83,23,4,9304.0,6681,0.5820456678135753
181,Харчові технології,15177,139,25,5,7900.0,7277,0.5205244778282928
274,Автомобільний транспорт,14623,112,25,5,7289.0,7334,0.4984613280448608
017,Фізична культура і спорт,14502,97,24,5,5374.0,9128,0.37056957661012274
275,Транспортні технології,13913,85,23,5,7163.0,6750,0.5148422338819809
