country_code;all_heis;all_private_heis;all_public_heis;other_heis;private_universities;private_universities_of_applied_sciences;public_universities;public_universities_of_applied_sciences;universities;universities_of_applied_sciences
AD;6649,85;;6649,85;;;;6649,85;;6649,85;
AL;;;;;;;;;;
AT;26201,17;;26201,17;;;;26201,17;;26201,17;
BE;9321,23;;9693,48;;;;19224,15;9073,40;19224,15;8854,23
BG;;;;;;;;;;
CH;41423,74;15172,41;41591,29;41256,19;;;50958,83;34591,51;50958,83;34591,51
CY;4780,19;4780,19;10613,84;66888,98;5177,42;4457,78;16603,74;7659,01;5624,53;4457,78
CZ;10,06;;10,06;4,56;;;10,42;;10,42;
DE;11165,52;8236,08;12304,75;19160,72;16815,43;7332,61;14947,17;9770,67;14988,59;8833,96
DK;14661,14;;14790,30;;;;23646,79;14231,18;23646,79;14004,89
EE;11865,80;4296,66;4880,18;;;4296,66;;4880,18;14964,64;4780,94
ES;;;;;;;;;;
FI;7540,39;;16652,47;;;;16652,47;;16652,47;7011,10
FR;9621,86;;9780,78;10879,20;;;8840,52;;8840,52;
GR;;;;;;;;;;
HR;;;;;;;;;;
HU;4349,06;1725,23;4315,80;4273,46;86595,73;1586,18;4805,15;4348,40;4805,15;2365,22
IE;16239,42;;16239,42;13864,13;;;18522,91;13200,20;18522,91;13200,20
IS;16462,65;;14751,37;;;;14751,37;;16462,65;
IT;7108,12;5276,88;7216,93;;5276,88;;7216,93;;7108,12;
LI;38188,94;;38188,94;;;;38188,94;;38188,94;
LT;4233,86;2514,87;4382,40;;5213,49;1498,56;10713,49;3520,14;9996,09;3289,17
LU;42419,02;;42419,02;;;;42419,02;;42419,02;
LV;4967,90;;4967,90;8024,66;;;7429,67;3908,55;7429,67;3908,55
ME;3743,67;2853,41;2961,63;;2853,41;;2961,63;;3743,67;
MK;;;;;;;;;;
MT;5379,26;3492,23;7408,07;4400,00;29413,37;;9212,74;;19313,06;
NL;16672,14;12024400,00;27282,48;;12024400,00;;28404,68;15539,28;29526,87;12416,61
NO;14086,77;6810,41;15959,27;12777,25;;6866,66;20920,51;13609,08;20920,51;13078,52
PL;5803,42;7215,09;5758,29;4371,27;7215,09;;6680,68;;6718,85;
PT;5938,29;277725,68;5938,29;;;277725,68;7528,33;5405,82;7528,33;5405,82
RO;3795,47;1659,23;3795,47;1659,23;1497,20;;3795,47;;3795,47;
RS;;;;;;;;;;
SE;10778,28;;9447,84;14913,49;;;8318,68;;8730,93;
SI;;;;;;;;;;
SK;10751,25;;9155,46;35872,83;;;8069,76;13371,39;8220,76;13371,39
TR;1446,20;;1446,20;;;;1446,20;;1446,20;
UK;12784,91;12999,85;18970,10;13999,89;16361,33;;22587,24;;12745,83;
VA;;;;;;;;;;
XK;;;;;;;;;;
