country_code;all_heis;all_private_heis;all_public_heis;other_heis;private_universities;private_universities_of_applied_sciences;public_universities;public_universities_of_applied_sciences;universities;universities_of_applied_sciences
AD;7463,77;;7463,77;;;;7463,77;;7463,77;
AL;;;;;;;;;;
AT;23225,93;;23225,93;;;;23225,93;;23225,93;
BE;8276,49;;8607,02;;;;17069,47;8056,44;17069,47;7861,83
BG;;;;;;;;;;
CH;26460,61;9691,82;26567,64;26353,59;;;32551,43;22096,33;32551,43;22096,33
CY;5278,08;5278,08;11719,34;73855,87;5716,68;4922,08;18333,13;8356,21;6210,36;4922,08
CZ;11,99;;11,99;5,44;;;12,42;;12,42;
DE;9948,16;7338,12;10963,19;17071,66;14982,07;6533,15;13317,50;8705,39;13354,41;7870,81
DK;11269,09;;11368,37;;;;18175,78;10938,60;18175,78;10764,67
EE;12935,07;4683,85;5319,95;;;4683,85;;5319,95;16313,14;5211,77
ES;;;;;;;;;;
FI;6114,00;;13502,36;;;;13502,36;;13502,36;5684,83
FR;8857,46;;9003,76;10014,91;;;8138,20;;8138,20;
GR;;;;;;;;;;
HR;;;;;;;;;;
HU;7313,31;2949,72;7257,39;7186,17;148057,51;2711,98;8080,26;7434,69;8080,26;4043,94
IE;13701,26;;13701,26;11697,22;;;15627,85;11137,06;15627,85;11137,06
IS;11124,34;;9601,81;;;;9601,81;;11124,34;
IT;6918,89;5136,40;7024,81;;5136,40;;7024,81;;6918,89;
LI;24394,29;;24394,29;;;;24394,29;;24394,29;
LT;5387,20;3199,94;5576,20;;6633,68;1906,78;13631,92;4479,06;12719,09;4185,17
LU;32813,26;;32813,26;;;;32813,26;;32813,26;
LV;6320,91;;6320,91;10210,19;;;9453,16;4973,05;9453,16;4973,05
ME;6800,28;5183,15;5379,72;;5183,15;;5379,72;;6800,28;
MK;;;;;;;;;;
MT;5955,71;3866,46;8201,93;4871,51;32565,34;;10199,99;;21382,66;
NL;14251,89;10395704,91;23321,95;;10395704,91;;24281,24;13283,48;25240,53;10614,12
NO;11271,94;5449,55;12770,28;10224,09;;5494,56;16740,16;10889,70;16740,16;10465,16
PL;9325,35;11593,72;9252,83;7024,06;11593,72;;10734,98;;10796,32;
PT;7227,54;328004,90;7227,54;;;328004,90;9162,78;6579,46;9162,78;6579,46
RO;7265,44;3128,58;7265,44;3128,58;2924,45;;7265,44;;7265,44;
RS;;;;;;;;;;
SE;9073,90;;7953,85;12555,20;;;7003,24;;7350,30;
SI;;;;;;;;;;
SK;13529,72;;11521,53;45143,56;;;10155,25;16827,00;10345,28;16827,00
TR;2727,71;;2727,71;;;;2727,71;;2727,71;
UK;10512,76;10689,50;15598,71;11511,81;13453,57;;18573,01;;10480,62;
VA;;;;;;;;;;
XK;;;;;;;;;;
