country_code;all_heis;all_private_heis;all_public_heis;other_heis;private_universities;private_universities_of_applied_sciences;public_universities;public_universities_of_applied_sciences;universities;universities_of_applied_sciences
AD;2023;;2023;;;;2023;;2023;
AL;;;;;;;;;;
AT;2023;;2023;;;;2023;;2023;
BE;2023;;2023;;;;2023;2023;2023;2023
BG;;;;;;;;;;
CH;2023;2023;2023;2023;;;2023;2023;2023;2023
CY;2023;2023;2023;2023;2023;2023;2023;2021;2023;2023
CZ;2023;;2023;2023;;;2023;;2023;
DE;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023
DK;2023;;2023;;;;2023;2023;2023;2023
EE;2023;2023;2023;;;2023;;2023;2023;2023
ES;;;;;;;;;;
FI;2023;;2023;;;;2023;;2023;2023
FR;2023;;2023;2023;;;2023;;2023;
GR;;;;;;;;;;
HR;;;;;;;;;;
HU;2015;2014;2015;2015;2014;2014;2015;2014;2015;2014
IE;2023;;2023;2023;;;2023;2023;2023;2023
IS;2023;;2022;;;;2022;;2023;
IT;2015;2015;2015;;2015;;2015;;2015;
LI;2023;;2023;;;;2023;;2023;
LT;2023;2023;2023;;2023;2023;2023;2023;2023;2023
LU;2023;;2023;;;;2023;;2023;
LV;2023;;2023;2023;;;2023;2023;2023;2023
ME;2022;2022;2022;;2022;;2022;;2022;
MK;;;;;;;;;;
MT;2023;2023;2023;2023;2023;;2023;;2023;
NL;2023;2022;2023;;2022;;2023;2023;2023;2023
NO;2023;2023;2023;2023;;2023;2023;2023;2023;2023
PL;2022;2022;2022;2022;2022;;2022;;2022;
PT;2023;2019;2023;;;2019;2023;2023;2023;2023
RO;2020;2019;2020;2019;2016;;2020;;2020;
RS;;;;;;;;;;
SE;2023;;2023;2023;;;2023;;2023;
SI;;;;;;;;;;
SK;2023;;2023;2023;;;2023;2023;2023;2023
TR;2014;;2014;;;;2014;;2014;
UK;2023;2023;2023;2023;2023;;2023;;2023;
VA;;;;;;;;;;
XK;;;;;;;;;;
