anomaly,record_id,institution_id,institution_name,country_code,city,year,students_total_analysis,students_total_analysis_source,students_total_includes_isced8,students_total_component_sum_incomplete,foreign_students_total_analysis,foreign_students_total_analysis_source,foreign_total_includes_isced8,foreign_total_component_sum_incomplete,foreign_students_share,student_staff_ratio,expenditure_per_student_ppp
negative_finance_values,UK0190.2023,UK0190,Arden University,UK,Conventry,2023,28710.0,reported_5_7_plus_observed_8,True,False,,missing,False,False,,74.57142857142857,4333.221053861093
student_staff_ratio_above_100,DE0100.2023,DE0100,DIU-Dresden Intern. University GmbH Dresden (Priv. H),DE,Dresden,2023,1047.0,reported_5_7_plus_observed_8,True,False,223.0,reported_5_7_plus_observed_8,True,False,0.21298949379178606,116.33333333333333,6485.9086600406445
student_staff_ratio_above_100,DE0292.2023,DE0292,DIPLOMA Hochschule,DE,Bückeburg,2023,6283.0,reported_5_7_plus_observed_8,True,False,472.0,reported_5_7_plus_observed_8,True,False,0.07512334871876492,108.32758620689656,2311.919192628512
student_staff_ratio_above_100,DE0304.2023,DE0304,PFH - Private Hochschule Göttingen,DE,Göttingen,2023,4145.0,reported_5_7_plus_observed_8,True,False,372.0,reported_5_7_plus_observed_8,True,False,0.08974668275030157,101.09756097560975,3670.711531677974
student_staff_ratio_above_100,DE0320.2023,DE0320,IU Internationale Hochschule,DE,Bad Honnef,2023,116296.0,reported_5_7_plus_observed_8,True,False,16511.0,reported_5_7_plus_observed_8,True,False,0.14197392859599642,102.1933216168717,3269.46487933784
student_staff_ratio_above_100,ES0067.2023,ES0067,Universidad Nacional de Educación a Distancia,ES,Madrid,2023,130184.0,reported_5_7_plus_observed_8,True,False,5268.0,reported_5_7_plus_observed_8,True,False,0.040465802249124314,103.85474503797307,
student_staff_ratio_above_100,ES0076.2023,ES0076,Universitat Oberta de Catalunya,ES,Barcelona,2023,72346.0,reported_5_7_plus_observed_8,True,False,3994.0,reported_5_7_plus_observed_8,True,False,0.05520692229010588,171.2536730242997,
student_staff_ratio_above_100,IT0048.2023,IT0048,Università Telematica PEGASO,IT,Naples,2023,118060.0,reported_5_7_plus_observed_8,True,False,3285.0,reported_5_7_plus_observed_8,True,False,0.027824834829747586,284.48192771084337,
student_staff_ratio_above_100,IT0049.2023,IT0049,"Università Telematica ""E-CAMPUS""",IT,Novedrate,2023,70850.0,reported_5_7_plus_observed_8,True,False,2915.0,reported_5_7_plus_observed_8,True,False,0.04114326040931546,111.5748031496063,
student_staff_ratio_above_100,IT0073.2023,IT0073,Università Telematica UNITELMA SAPIENZA,IT,Rome,2023,10445.0,reported_5_7_plus_observed_8,True,False,520.0,reported_5_7_plus_observed_8,True,False,0.04978458592628052,116.05555555555556,
student_staff_ratio_above_100,IT0076.2023,IT0076,"Università Telematica ""Universitas MERCATORUM""",IT,Rome,2023,57365.0,reported_5_7_plus_observed_8,True,False,1625.0,reported_5_7_plus_observed_8,True,False,0.02832737732066591,185.0483870967742,
student_staff_ratio_above_100,UK0161.2023,UK0161,University of the Highlands and Islands,UK,Dunoon,2023,9530.0,reported_5_7_plus_observed_8,True,False,,missing,False,False,,158.83333333333334,13533.957564653067
student_staff_ratio_above_100,UK0253.2023,UK0253,Nelson College London Ltd,UK,Ilford,2023,1770.0,reported_5_7_plus_observed_8,True,False,,missing,False,False,,118.0,8791.99833613795
student_staff_ratio_above_100,UK0300.2023,UK0300,College of Legal Practice Limited,UK,Leeds,2023,795.0,component_sum_5_8_observed,True,True,,missing,False,False,,159.0,3147.686426693332
student_staff_ratio_above_100,CY0047.2022,CY0047,Philips University,CY,Strovolos,2022,870.0,reported_5_7_plus_observed_8,True,False,870.0,reported_5_7_plus_observed_8,True,False,1.0,108.75,2724.3072030618673
student_staff_ratio_above_100,DE0213.2022,DE0213,SRH Fernhochschule Riedlingen,DE,Riedlingen,2022,8037.0,reported_5_7_plus_observed_8,True,False,759.0,reported_5_7_plus_observed_8,True,False,0.09443822321761851,100.4625,2141.4174796932825
student_staff_ratio_above_100,DE0292.2022,DE0292,DIPLOMA Hochschule,DE,Bückeburg,2022,7775.0,reported_5_7_plus_observed_8,True,False,630.0,reported_5_7_plus_observed_8,True,False,0.08102893890675242,131.77966101694915,1781.9145773707232
student_staff_ratio_above_100,DE0304.2022,DE0304,PFH - Private Hochschule Göttingen,DE,Göttingen,2022,4447.0,reported_5_7_plus_observed_8,True,False,368.0,reported_5_7_plus_observed_8,True,False,0.082752417360018,111.175,3678.9373110586953
student_staff_ratio_above_100,DE0320.2022,DE0320,IU Internationale Hochschule,DE,Bad Honnef,2022,106334.0,reported_5_7_plus_observed_8,True,False,14556.0,reported_5_7_plus_observed_8,True,False,0.1368894238907593,102.24423076923077,2923.062345274054
student_staff_ratio_above_100,ES0067.2022,ES0067,Universidad Nacional de Educación a Distancia,ES,Madrid,2022,130459.0,reported_5_7_plus_observed_8,True,False,5164.0,reported_5_7_plus_observed_8,True,False,0.03958331736407607,110.73114008284104,
student_staff_ratio_above_100,ES0076.2022,ES0076,Universitat Oberta de Catalunya,ES,Barcelona,2022,72915.0,reported_5_7_plus_observed_8,True,False,4537.0,reported_5_7_plus_observed_8,True,False,0.062223136528834946,176.41863991225225,
student_staff_ratio_above_100,IT0048.2022,IT0048,Università Telematica PEGASO,IT,Naples,2022,82070.0,reported_5_7_plus_observed_8,True,False,1440.0,reported_5_7_plus_observed_8,True,False,0.01754599731936152,256.46875,
student_staff_ratio_above_100,IT0049.2022,IT0049,"Università Telematica ""E-CAMPUS""",IT,Novedrate,2022,65040.0,reported_5_7_plus_observed_8,True,False,2735.0,reported_5_7_plus_observed_8,True,False,0.042051045510455104,153.03529411764706,
student_staff_ratio_above_100,IT0073.2022,IT0073,Università Telematica UNITELMA SAPIENZA,IT,Rome,2022,9825.0,reported_5_7_plus_observed_8,True,False,300.0,reported_5_7_plus_observed_8,True,False,0.030534351145038167,140.35714285714286,
student_staff_ratio_above_100,IT0076.2022,IT0076,"Università Telematica ""Universitas MERCATORUM""",IT,Rome,2022,41005.0,reported_5_7_plus_observed_8,True,False,1090.0,reported_5_7_plus_observed_8,True,False,0.026582124131203512,141.39655172413794,
student_staff_ratio_above_100,PL0158.2022,PL0158,Warszawska Uczelnia Medyczna im. Tadeusza Koźluka,PL,Warszawa,2022,1520.0,reported_5_7_plus_observed_8,True,False,45.0,reported_5_7_plus_observed_8,True,False,0.029605263157894735,101.33333333333333,
student_staff_ratio_above_100,PL0173.2022,PL0173,Szkoła Wyższa im. Pawła Włodkowica w Płocku,PL,Płock,2022,3845.0,reported_5_7_plus_observed_8,True,False,0.0,reported_5_7_plus_observed_8,True,False,0.0,128.16666666666666,
student_staff_ratio_above_100,PL0216.2022,PL0216,Wyższa Szkoła Zarządzania i Przedsiębiorczości w Wałbrzychu,PL,Wałbrzych,2022,3040.0,reported_5_7_plus_observed_8,True,False,5.0,reported_5_7_plus_observed_8,True,False,0.001644736842105263,152.0,
student_staff_ratio_above_100,PL0244.2022,PL0244,Wyższa Szkoła Administracji w Bielsku-Białej,PL,Bielsko-Biała,2022,1015.0,reported_5_7_plus_observed_8,True,False,5.0,reported_5_7_plus_observed_8,True,False,0.0049261083743842365,101.5,
student_staff_ratio_above_100,PL0248.2022,PL0248,Wyższa Szkoła Bankowa w Poznaniu,PL,Poznań,2022,28855.0,reported_5_7_plus_observed_8,True,False,1290.0,reported_5_7_plus_observed_8,True,False,0.04470629007104488,131.1590909090909,
student_staff_ratio_above_100,PL0249.2022,PL0249,Wyższa Szkoła Bankowa w Toruniu,PL,Toruń,2022,14105.0,reported_5_7_plus_observed_8,True,False,595.0,reported_5_7_plus_observed_8,True,False,0.04218362282878412,112.84,
student_staff_ratio_above_100,PL0250.2022,PL0250,Wyższa Szkoła Bankowa we Wrocławiu,PL,Wrocław,2022,20260.0,reported_5_7_plus_observed_8,True,False,1480.0,reported_5_7_plus_observed_8,True,False,0.07305034550839092,106.63157894736842,
