country_code,year,total_students,academic_personnel_fte,total_personnel_fte,student_staff_ratio,total_revenues_eur,total_revenues_ppp,total_expenditure_eur,total_expenditure_ppp,revenue_per_student_eur,revenue_per_student_ppp,expenditure_per_student_eur,expenditure_per_student_ppp,third_party_funding_ppp,third_party_funding_per_student_ppp,rd_expenditure_ppp,rd_expenditure_per_student_ppp,rd_expenditure_share_of_expenditure_ppp,student_staff_ratio_aggregate_unmatched,student_staff_ratio_pair_numerator,student_staff_ratio_pair_denominator,student_staff_ratio_pair_records,student_staff_ratio_pair_institutions,student_staff_ratio_pair_record_coverage,student_staff_ratio_denominator_coverage,revenue_per_student_eur_aggregate_unmatched,revenue_per_student_eur_pair_numerator,revenue_per_student_eur_pair_denominator,revenue_per_student_eur_pair_records,revenue_per_student_eur_pair_institutions,revenue_per_student_eur_pair_record_coverage,revenue_per_student_eur_denominator_coverage,revenue_per_student_ppp_aggregate_unmatched,revenue_per_student_ppp_pair_numerator,revenue_per_student_ppp_pair_denominator,revenue_per_student_ppp_pair_records,revenue_per_student_ppp_pair_institutions,revenue_per_student_ppp_pair_record_coverage,revenue_per_student_ppp_denominator_coverage,expenditure_per_student_eur_aggregate_unmatched,expenditure_per_student_eur_pair_numerator,expenditure_per_student_eur_pair_denominator,expenditure_per_student_eur_pair_records,expenditure_per_student_eur_pair_institutions,expenditure_per_student_eur_pair_record_coverage,expenditure_per_student_eur_denominator_coverage,expenditure_per_student_ppp_aggregate_unmatched,expenditure_per_student_ppp_pair_numerator,expenditure_per_student_ppp_pair_denominator,expenditure_per_student_ppp_pair_records,expenditure_per_student_ppp_pair_institutions,expenditure_per_student_ppp_pair_record_coverage,expenditure_per_student_ppp_denominator_coverage,third_party_funding_per_student_ppp_aggregate_unmatched,third_party_funding_per_student_ppp_pair_numerator,third_party_funding_per_student_ppp_pair_denominator,third_party_funding_per_student_ppp_pair_records,third_party_funding_per_student_ppp_pair_institutions,third_party_funding_per_student_ppp_pair_record_coverage,third_party_funding_per_student_ppp_denominator_coverage,rd_expenditure_per_student_ppp_aggregate_unmatched,rd_expenditure_per_student_ppp_pair_numerator,rd_expenditure_per_student_ppp_pair_denominator,rd_expenditure_per_student_ppp_pair_records,rd_expenditure_per_student_ppp_pair_institutions,rd_expenditure_per_student_ppp_pair_record_coverage,rd_expenditure_per_student_ppp_denominator_coverage,rd_expenditure_share_of_expenditure_ppp_aggregate_unmatched,rd_expenditure_share_of_expenditure_ppp_pair_numerator,rd_expenditure_share_of_expenditure_ppp_pair_denominator,rd_expenditure_share_of_expenditure_ppp_pair_records,rd_expenditure_share_of_expenditure_ppp_pair_institutions,rd_expenditure_share_of_expenditure_ppp_pair_record_coverage,rd_expenditure_share_of_expenditure_ppp_denominator_coverage
AD,2017,,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,
AD,2018,541.0,,,,3343654.0,3588882.329580216,3343654.0,3588882.329580216,6180.506469500924,6633.793585176,6180.506469500924,6633.793585176,156083.16249315746,288.5086182867975,,,,,,,0,0,0.0,,6180.506469500924,3343654.0,541.0,1,1,0.5,1.0,6633.793585176,3588882.329580216,541.0,1,1,0.5,1.0,6180.506469500924,3343654.0,541.0,1,1,0.5,1.0,6633.793585176,3588882.329580216,541.0,1,1,0.5,1.0,288.5086182867975,156083.16249315746,541.0,1,1,0.5,1.0,,,,0,0,0.0,,,,,0,0,0.0,
AD,2019,569.0,,,,3574855.0,3848548.36556556,3574855.0,3848548.36556556,6282.697715289983,6763.705387637187,6282.697715289983,6763.705387637187,208795.7161497022,366.95204947223584,,,,,,,0,0,0.0,,6282.697715289983,3574855.0,569.0,1,1,0.5,1.0,6763.705387637187,3848548.36556556,569.0,1,1,0.5,1.0,6282.697715289983,3574855.0,569.0,1,1,0.5,1.0,6763.705387637187,3848548.36556556,569.0,1,1,0.5,1.0,366.95204947223584,208795.7161497022,569.0,1,1,0.5,1.0,,,,0,0,0.0,,,,,0,0,0.0,
AD,2020,547.0,,,,3743096.0,3944032.6304221153,3743096.0,3944032.6304221153,6842.954296160878,7210.297313385951,6842.954296160878,7210.297313385951,280255.15961700765,512.3494691352973,,,,,,,0,0,0.0,,6842.954296160878,3743096.0,547.0,1,1,0.5,1.0,7210.297313385951,3944032.6304221153,547.0,1,1,0.5,1.0,6842.954296160878,3743096.0,547.0,1,1,0.5,1.0,7210.297313385951,3944032.6304221153,547.0,1,1,0.5,1.0,512.3494691352973,280255.15961700765,547.0,1,1,0.5,1.0,,,,0,0,0.0,,,,,0,0,0.0,
AD,2021,629.0,,,,3749057.0,4063833.408126676,3749057.0,4063833.408126676,5960.344992050875,6460.784432633825,5960.344992050875,6460.784432633825,303422.50000541983,482.38871225027,,,,,,,0,0,0.0,,5960.344992050875,3749057.0,629.0,1,1,1.0,1.0,6460.784432633825,4063833.408126676,629.0,1,1,1.0,1.0,5960.344992050875,3749057.0,629.0,1,1,1.0,1.0,6460.784432633825,4063833.408126676,629.0,1,1,1.0,1.0,482.38871225027,303422.50000541983,629.0,1,1,1.0,1.0,,,,0,0,0.0,,,,,0,0,0.0,
AD,2022,674.0,,,,3982353.0,4395770.852949001,3982353.0,4395770.852949001,5908.535608308605,6521.9152120905055,5908.535608308605,6521.9152120905055,216296.4663651787,320.914638524004,,,,,,,0,0,0.0,,5908.535608308605,3982353.0,674.0,1,1,1.0,1.0,6521.9152120905055,4395770.852949001,674.0,1,1,1.0,1.0,5908.535608308605,3982353.0,674.0,1,1,1.0,1.0,6521.9152120905055,4395770.852949001,674.0,1,1,1.0,1.0,320.914638524004,216296.4663651787,674.0,1,1,1.0,1.0,,,,0,0,0.0,,,,,0,0,0.0,
AD,2023,675.0,,,,4488648.0,5038047.028452775,4488648.0,5038047.028452775,6649.848888888889,7463.7733754855935,6649.848888888889,7463.7733754855935,215398.17049217128,319.10840072914266,,,,,,,0,0,0.0,,6649.848888888889,4488648.0,675.0,1,1,1.0,1.0,7463.7733754855935,5038047.028452775,675.0,1,1,1.0,1.0,6649.848888888889,4488648.0,675.0,1,1,1.0,1.0,7463.7733754855935,5038047.028452775,675.0,1,1,1.0,1.0,319.10840072914266,215398.17049217128,675.0,1,1,1.0,1.0,,,,0,0,0.0,,,,,0,0,0.0,
AL,2013,163530.0,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,
AL,2014,163530.0,,,,,,,,,,,,,,,,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,
AL,2015,146075.0,,,,,,,,,,,,,,0.0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,,,,0,0,0.0,,0.0,0.0,10185.0,16,16,0.4,0.0697244566147527,,,,0,0,0.0,
