year,country_observations,countries,pearson_correlation,pearson_p_value,spearman_correlation,spearman_p_value
2013,1,1,,,,
2014,21,21,0.04951680410089389,0.8312099727734675,0.23896103896103899,0.296849182619377
2015,21,21,0.07740253354420257,0.7387688213808303,0.20396233618756854,0.3751787801795109
2016,18,18,0.03966380246255269,0.8758289626830172,0.24664602683178533,0.3238088129377634
2017,21,21,0.06929289098056093,0.7653561454816489,0.2792207792207792,0.2202885948651402
2018,20,20,0.06468950991904383,0.7864249337521962,0.28721804511278193,0.2195043134627025
2019,21,21,-0.04493697277104462,0.8466342803769762,0.187012987012987,0.4169505000140747
2020,22,22,-0.02238042569859368,0.9212510670207137,0.24675324675324675,0.2682743394211487
2021,21,21,0.10362773287954036,0.6548676540626029,0.4623376623376624,0.034838795690155085
2022,21,21,0.10390539549500982,0.6539983760831053,0.3702501007226562,0.09850860034836126
2023,20,20,0.12394347546212896,0.6026340457875934,0.4421052631578947,0.05096470340964165
