country_code,year,records_count,institutions_count,institutions_with_student_data,institutions_with_funding_ppp_data,institutions_with_funding_eur_data,median_students_per_institution,median_funding_per_student_ppp,median_funding_per_student_eur,student_data_coverage,funding_ppp_data_coverage
AD,2017,2,2,0,0,0,,,,0.0,0.0
AD,2018,2,2,1,1,1,541.0,6633.793585176,6180.506469500924,0.5,0.5
AD,2019,2,2,1,1,1,569.0,6763.705387637187,6282.697715289983,0.5,0.5
AD,2020,2,2,1,1,1,547.0,7210.297313385951,6842.954296160878,0.5,0.5
AD,2021,1,1,1,1,1,629.0,6460.784432633825,5960.344992050875,1.0,1.0
AD,2022,1,1,1,1,1,674.0,6521.9152120905055,5908.535608308605,1.0,1.0
AD,2023,1,1,1,1,1,675.0,7463.7733754855935,6649.848888888889,1.0,1.0
AL,2013,38,38,35,0,0,730.0,,,0.9210526315789473,0.0
AL,2014,38,38,35,0,0,730.0,,,0.9210526315789473,0.0
AL,2015,40,40,34,0,0,1062.5,,,0.85,0.0
AL,2016,40,40,34,0,0,1072.5,,,0.85,0.0
AL,2017,40,40,37,0,0,974.0,,,0.925,0.0
AL,2018,41,41,39,0,0,1041.0,,,0.9512195121951219,0.0
AL,2019,41,41,39,0,0,1007.0,,,0.9512195121951219,0.0
AL,2022,41,41,0,0,0,,,,0.0,0.0
AL,2023,40,40,0,0,0,,,,0.0,0.0
AT,2013,24,24,24,22,22,5202.5,15403.792445648056,17010.253959804693,1.0,0.9166666666666666
AT,2014,69,69,69,22,22,1765.0,15971.987921095933,17800.301378423785,1.0,0.3188405797101449
AT,2015,69,69,69,22,22,1805.0,16184.350065745512,17980.165549040634,1.0,0.3188405797101449
AT,2016,69,69,69,22,22,1975.0,16204.181425856972,18123.56671574973,1.0,0.3188405797101449
AT,2017,70,70,70,22,22,1812.0207542455,16440.362154990315,18549.82502309712,1.0,0.3142857142857143
AT,2018,70,70,70,22,22,1804.8369544875,17071.565776927153,19268.505576759904,1.0,0.3142857142857143
AT,2019,72,72,72,22,22,1886.719233128,19020.909073221854,21593.10660719365,1.0,0.3055555555555556
AT,2020,73,73,73,22,22,1872.083333333,18764.913525108845,21407.951595120423,1.0,0.3013698630136986
AT,2021,73,73,73,22,22,1976.986567569,20852.976922574213,23549.05830889383,1.0,0.3013698630136986
AT,2022,74,74,74,22,22,2100.5229064325,21795.176574817964,24274.59586196926,1.0,0.2972972972972973
AT,2023,76,76,76,22,22,1926.2061452995,23225.92589348708,26201.16700044278,1.0,0.2894736842105263
BE,2014,65,65,23,22,22,7290.0,6171.091276091132,6889.714855191944,0.35384615384615387,0.3384615384615385
BE,2015,64,64,22,21,21,8070.0,6158.964366986291,6852.525344352617,0.34375,0.328125
BE,2016,63,63,22,21,21,7872.5,6515.601250067482,7325.685953488372,0.3492063492063492,0.3333333333333333
BE,2017,149,149,63,21,21,4257.0,6552.315033267929,7399.005181866809,0.4228187919463087,0.14093959731543623
BE,2018,149,149,63,21,21,4036.0,7103.673391882636,8028.358557303996,0.4228187919463087,0.14093959731543623
BE,2019,149,149,63,21,21,4471.0,6839.333223413109,7737.8848223051245,0.4228187919463087,0.14093959731543623
BE,2020,149,149,63,21,21,4498.0,6566.864110593152,7361.914348462665,0.4228187919463087,0.14093959731543623
BE,2021,148,148,63,21,21,4611.0,7090.739826155089,8002.6798751968945,0.42567567567567566,0.14189189189189189
BE,2022,144,144,57,21,21,3815.0,8056.465480053644,9111.459634666668,0.3958333333333333,0.14583333333333334
BE,2023,143,143,57,21,21,3740.0,8276.487531908424,9321.228553061224,0.3986013986013986,0.14685314685314685
BG,2014,52,52,52,0,0,3602.5,,,1.0,0.0
BG,2015,52,52,52,0,0,3342.5,,,1.0,0.0
BG,2016,52,52,52,0,0,3087.5,,,1.0,0.0
BG,2017,52,52,52,0,0,2830.5,,,1.0,0.0
BG,2018,52,52,52,0,0,2816.5,,,1.0,0.0
BG,2019,52,52,52,0,0,2747.5,,,1.0,0.0
BG,2020,52,52,52,0,0,2674.5,,,1.0,0.0
BG,2021,52,52,52,0,0,2700.5,,,1.0,0.0
BG,2022,52,52,52,0,0,2602.0,,,1.0,0.0
BG,2023,52,52,52,0,0,2105.0,,,1.0,0.0
