country_code;selected_year;valid_observations;institutions_count;median_students_all_heis;median_students_per_teacher_all_heis
AT;2023;76;76;1926,2061;13,4669
BE;2023;21;21;10060,0000;19,4021
CH;2023;43;43;2631,0000;8,4038
CY;2023;31;31;444,0000;16,6667
CZ;2023;51;51;2179,0000;16,3410
DE;2023;396;396;2929,5000;15,3019
DK;2023;8;8;17075,0000;9,6951
EE;2023;7;7;2835,0000;9,5519
ES;2023;89;89;13803,0000;15,9196
FI;2023;35;35;8418,0000;18,8266
HR;2023;37;37;885,0000;13,6000
HU;2023;50;50;1986,0000;15,7321
IS;2023;1;1;560,0000;7,6818
IT;2023;208;208;1095,0000;8,5848
LI;2023;2;2;415,0000;13,7885
LT;2023;28;28;1515,0000;13,2587
LU;2023;1;1;7535,0000;4,7787
MT;2023;13;13;480,0000;13,5000
NL;2022;54;54;9570,0000;16,9897
NO;2022;30;30;5526,0000;10,6509
PL;2022;263;263;2325,0000;17,1667
PT;2023;94;94;1385,0000;15,2430
RO;2023;69;69;4270,0000;11,4556
RS;2022;39;39;1540,0000;17,8750
SE;2023;39;39;12655,0000;22,9281
SK;2022;20;20;5397,5000;11,2315
UK;2023;199;199;12265,0000;17,7500
