anomaly,record_id,institution_id,institution_name,country_code,city,year,students_total_analysis,students_total_analysis_source,students_total_includes_isced8,students_total_component_sum_incomplete,foreign_students_total_analysis,foreign_students_total_analysis_source,foreign_total_includes_isced8,foreign_total_component_sum_incomplete,foreign_students_share,student_staff_ratio,expenditure_per_student_ppp
students_total_analysis_zero_or_negative,BE0005.2023,BE0005,Université de Namur,BE,Namur,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,BE0007.2023,BE0007,Université catholique de Louvain,BE,Louvain-La-Neuve,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,BE0008.2023,BE0008,Université de Liège,BE,Liège,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,BE0009.2023,BE0009,Université de Mons,BE,Mons,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,BE0010.2023,BE0010,Université libre de Bruxelles,BE,Brussels,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,DK0035.2023,DK0035,Ilisimatusarfik,DK,Nuussuaq,2023,0.0,component_sum_5_8_observed,False,True,,missing,False,False,,,
students_total_analysis_zero_or_negative,DK0036.2023,DK0036,Fróðskaparsetur Føroya,DK,Tórshavn,2023,0.0,component_sum_5_8_observed,False,True,,missing,False,False,,,
students_total_analysis_zero_or_negative,FR0028.2023,FR0028,Institut supérieur de l'électronique et du numérique Brest,FR,Brest,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0031.2023,FR0031,Institut supérieur des Arts de Toulouse,FR,Toulouse,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0041.2023,FR0041,Institut supérieur de l'aéronautique et de l'espace,FR,Toulouse,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0117.2023,FR0117,Groupe Institut supérieur d'agriculture de Lille,FR,Lille,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0119.2023,FR0119,Institut supérieur de l'électronique et du numérique Lille,FR,Lille,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0160.2023,FR0160,Institut supérieur d'agriculture et d'agroalimentaire Rhône-Alpes,FR,Lyon,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0165.2023,FR0165,Institut textile et chimique,FR,Écully,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0203.2023,FR0203,Télécom Paris,FR,Paris,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0205.2023,FR0205,Institut supérieur d'électronique de Paris,FR,Paris,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0215.2023,FR0215,Pôle supérieur d’enseignement artistique Paris Boulogne-Billancourt,FR,Paris,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0221.2023,FR0221,École supérieure d’ingénieurs et de techniciens pour l’agriculture,FR,Mont-Saint-Aignan,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0226.2023,FR0226,Université Paris-Est,FR,Champs-sur-Marne,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0231.2023,FR0231,École Supérieure d'Ingénieurs en Électronique et Électrotechnique Amiens,FR,Amiens,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0248.2023,FR0248,Télécom SudParis,FR,Évry,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0250.2023,FR0250,Institut Mines-Télécom Business School,FR,Évry,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0277.2023,FR0277,Institut libre d'éducation physique supérieur,FR,Cergy,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0328.2023,FR0328,VetAgro Sup Marcy-l'Étoile,FR,Marcy-l'Étoile,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0331.2023,FR0331,"École nationale vétérinaire, agroalimentaire et de l'alimentation, Nantes-Atlantique",FR,Nantes,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0344.2023,FR0344,Université Lasalle,FR,Beauvais,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0405.2023,FR0405,Neoma business school,FR,Mont-Saint-Aignan,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0408.2023,FR0408,Kedge business school,FR,Talence,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0423.2023,FR0423,SKEMA Business School,FR,Lille,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0441.2023,FR0441,Institut supérieur du commerce de Paris,FR,Paris,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0447.2023,FR0447,Y Schools,FR,Troyes,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0459.2023,FR0459,Institut polytechnique de Paris,FR,Paris,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0513.2023,FR0513,Institut supérieur européen de gestion Lyon,FR,Lyon,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0515.2023,FR0515,Institut Paul Bocuse,FR,Ecully,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0521.2023,FR0521,Institut de formation en masso-kinésithérapie - Vichy,FR,Vichy,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0523.2023,FR0523,Institut supérieur de rééducation psychomotrice - Vichy,FR,Vichy,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0526.2023,FR0526,Institut de formation en masso-kinésithérapie - Nice,FR,Nice,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0531.2023,FR0531,Institut de formation en soins infirmiers - Troyes,FR,Troyes,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0540.2023,FR0540,Institut de Formation des manipulateurs d'électroradiologie médicale Laurent Chevrot - Institut Régional de Formations Spécialisées en Santé – AP-HM,FR,Marseille,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0544.2023,FR0544,Ecole MOPA,FR,Arles,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
students_total_analysis_zero_or_negative,FR0546.2023,FR0546,"Ecole supérieure de design, d'arts appliqués et de communication",FR,Paris,2023,0.0,component_sum_5_8_observed,False,True,0.0,component_sum_5_8_observed,False,True,,,
