country_code,year,institutions_count,institutions_with_student_data,student_coverage_share,avg_observed_institution_size,students_per_registered_institution,records_with_complete_isced_structure,complete_isced_structure_share,isced_structure_coverage_flag,isced_shares_reliable,total_students,total_students_reliable,students_total_reliable,students_total_calc,students_total_with_observed_isced8,students_total_component_sum_complete_records,students_total_component_sum_incomplete_records,students_total_component_sum_incomplete_students,students_total_component_sum_incomplete_share,students_isced5,students_isced6,students_isced7,students_isced8,isced5_share_observed,isced6_share_observed,isced7_share_observed,isced8_share_observed,isced5_share_reliable,isced6_share_reliable,isced7_share_reliable,isced8_share_reliable,isced5_share,isced6_share,isced7_share,isced8_share,phd_share,phd_share_observed,phd_share_reliable,foreign_students_total,foreign_students_total_with_observed_isced8,foreign_total_component_sum_complete_records,foreign_total_component_sum_incomplete_records,foreign_total_component_sum_incomplete_students,foreign_total_component_sum_incomplete_share,foreign_students_share,foreign_students_isced5_share,foreign_students_isced6_share,foreign_students_isced7_share,foreign_students_isced8_share,foreign_students_share_aggregate_unmatched,foreign_students_share_pair_numerator,foreign_students_share_pair_denominator,foreign_students_share_pair_records,foreign_students_share_pair_institutions,foreign_students_share_pair_record_coverage,foreign_students_share_denominator_coverage
AD,2017,2,0,0.0,,,0,0.0,no_complete_records,False,,,True,,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AD,2018,2,1,0.5,541.0,270.5,0,0.0,no_complete_records,False,541.0,541.0,True,44.0,1,0,0,,0.0,22.0,,,22.0,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AD,2019,2,1,0.5,569.0,284.5,0,0.0,no_complete_records,False,569.0,569.0,True,50.0,1,0,0,,0.0,27.0,,,23.0,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AD,2020,2,1,0.5,547.0,273.5,0,0.0,no_complete_records,False,547.0,547.0,True,23.0,1,0,0,,0.0,,,,23.0,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AD,2021,1,1,1.0,629.0,629.0,0,0.0,no_complete_records,False,629.0,629.0,True,19.0,1,0,0,,0.0,,,,19.0,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AD,2022,1,1,1.0,674.0,674.0,0,0.0,no_complete_records,False,674.0,674.0,True,23.0,1,0,0,,0.0,,,,23.0,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AD,2023,1,1,1.0,675.0,675.0,0,0.0,no_complete_records,False,675.0,675.0,True,24.0,1,0,0,,0.0,,,,24.0,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AL,2013,38,35,0.9210526315789473,4672.285714285715,4303.421052631579,0,0.0,no_complete_records,False,163530.0,163530.0,True,,0,0,0,,0.0,,,,,,,,,,,,,,,,,,,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AL,2014,38,38,1.0,4303.421052631579,4303.421052631579,0,0.0,no_complete_records,False,163530.0,163530.0,True,0.0,20,0,3,0.0,0.0,0.0,,0.0,0.0,,,,,,,,,,,,,,,,0.0,20,0,33,0.0,0.0,0.0,,,,,0.0,0.0,108815.0,30,30,0.7894736842105263,0.6654130740536904
AL,2015,40,40,1.0,3651.875,3651.875,7,0.175,low,False,146075.0,146075.0,True,121040.0,36,0,5,0.0,0.0,70.0,85145.0,33295.0,2530.0,0.0005783212161269003,0.7034451421017845,0.2750743555849306,0.020902181097157965,,,,,,,,,,0.020902181097157965,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AL,2016,40,40,1.0,3489.375,3489.375,11,0.275,low,False,139575.0,139575.0,True,108010.0,30,0,2,0.0,0.0,340.0,77930.0,28055.0,1685.0,0.003147856679937043,0.7215072678455698,0.2597444681048051,0.015600407369687992,,,,,,,,,,0.015600407369687992,,,0,0,0,,0.0,,,,,,,,,0,0,0.0,
AL,2017,40,40,1.0,3295.825,3295.825,38,0.95,high,True,131833.0,131833.0,True,131833.0,40,0,2,0.0,0.0,0.0,87757.0,42664.0,1412.0,0.0,0.665667928363915,0.3236215515083477,0.010710520127737365,0.0,0.665667928363915,0.3236215515083477,0.010710520127737365,0.0,0.665667928363915,0.3236215515083477,0.010710520127737365,0.010710520127737365,0.010710520127737365,0.010710520127737365,2108.0,40,0,2,0.0,0.0,0.015989926649624904,,0.008557721891131192,0.025689105569098068,0.1848441926345609,0.015989926649624904,2108.0,131833.0,37,37,0.925,1.0
