country_code,method,correlation,p_value,n_institutions
AT,pearson,-0.44783839049499563,0.036610257925000375,22
BE,pearson,0.3978696920116962,0.07406559498696098,21
CH,pearson,0.26348845952701666,0.10507475706309231,39
CY,pearson,-0.12548609630545435,0.598091051807295,20
CZ,pearson,-0.22271602469463758,0.274135081248039,26
DE,pearson,-0.11772350263305671,0.018805494390436644,398
DK,pearson,0.24736252939689285,0.1458048537799063,36
EE,pearson,0.15124697078357766,0.6389121677645175,12
FI,pearson,0.30660805798176327,0.07321814323457755,35
FR,pearson,-0.13364528834167894,0.14390490485436344,121
IE,pearson,0.5778976956521129,0.019047082011708877,16
LT,pearson,0.4508315982922783,0.023710221071171225,25
LV,pearson,0.18554044973283101,0.3641635542518229,26
MT,pearson,-0.0235926125702699,0.9334878379996635,15
NL,pearson,-0.15267206935650476,0.26580349290453165,55
NO,pearson,-0.16452692836021282,0.3937338442214701,29
PL,pearson,-0.07959273062353861,0.38751063672339936,120
PT,pearson,0.2530216140407925,0.1487990440568051,34
SE,pearson,-0.2156028146621791,0.1935943291588324,38
SK,pearson,-0.251893096932347,0.246258726532766,23
UK,pearson,-0.07188894775173522,0.26330108176257505,244
AT,spearman,-0.6442687747035574,0.0012113881267314156,22
BE,spearman,-0.0961038961038961,0.6785829571667291,21
CH,spearman,0.09372469635627532,0.5703617336169824,39
CY,spearman,-0.28120300751879695,0.22974103217104477,20
CZ,spearman,-0.22598290598290596,0.26697458497857074,26
DE,spearman,-0.18599126148487924,0.00019037895952347323,398
DK,spearman,-0.18404118404118405,0.2826042175306682,36
EE,spearman,-0.0770579115172181,0.8118586763333356,12
FI,spearman,0.24285714285714288,0.15980426942185166,35
FR,spearman,-0.21875084676873047,0.015928348800595855,121
IE,spearman,0.5029411764705883,0.04706314046727303,16
LT,spearman,0.3853846153846154,0.057104809807217424,25
LV,spearman,0.28205128205128205,0.1627186736134215,26
MT,spearman,-0.09285714285714285,0.7420450099073671,15
NL,spearman,-0.3269959235866521,0.014819271768170097,55
NO,spearman,-0.15221674876847288,0.4305416911367654,29
PL,spearman,-0.1415177548319067,0.12312380254938042,120
PT,spearman,0.07165775401069518,0.6871523152963481,34
SE,spearman,-0.21041689462742094,0.2047908271523838,38
SK,spearman,-0.4634387351778656,0.025932604324503866,23
UK,spearman,-0.13390283206872639,0.036589875707462645,244
