country_code,institution_id,institution_name_en,year,students_total_calc,total_current_expenditure_ppp,funding_per_student_ppp,total_current_expenditure_eur,funding_per_student_eur
AD,AD0001,University of Andorra,2023,675.0,5038047.028452775,7463.7733754855935,4488648.0,6649.848888888889
AT,AT0001,University of Vienna,2023,74617.35040465699,671234002.4111338,8995.682623022232,757219078.12,10148.02956703138
AT,AT0002,University of Graz,2023,21928.439915802002,268821283.6982537,12259.024569483237,303257290.14000005,13829.405616834043
AT,AT0003,University of Innsbruck,2023,25346.554916251003,338873635.6262742,13369.613217495076,382283348.35,15082.260670656198
AT,AT0004,University of Salzburg,2023,13526.927864799,171595647.38055137,12685.48550680847,193577049.81,14310.496200230637
AT,AT0005,Vienna University of Technology,2023,23767.922988298,410605405.6466625,17275.611581576635,463203958.1099999,19488.6174251766
AT,AT0006,Graz University of Technology,2023,12475.701470332,269248282.41290665,21581.81510299809,303738987.39,24346.445617692145
AT,AT0007,University of Leoben,2023,2629.577777778,90228207.20680788,34312.81172563413,101786440.54999998,38708.28290768786
AT,AT0008,"University of Natural Resources and Life Sciences, Vienna",2023,9082.667030179,209563994.35333744,23072.957938127496,236409142.02999997,26028.60385000163
AT,AT0009,University of Veterinary Medicine Vienna,2023,2027.245623932,133481125.8133144,65843.58808698149,150580058.03,74278.15172092384
AT,AT0010,Vienna University of Economics and Business,2023,19084.727562394,203868753.9402535,10682.298359970933,229984341.32,12050.700779883211
AT,AT0011,University of Linz,2023,18475.896113232,211042478.6986969,11422.584182401484,238077020.22,12885.817216167115
AT,AT0012,University of Klagenfurt,2023,7179.076244741001,76344018.73060898,10634.239855933338,86123687.53,11996.4859814784
AT,AT0013,University for Continuing Education Krems,2023,7796.816666667,55946529.32364153,7175.560451847545,63113279.73000002,8094.749745729217
AT,AT0014,Medical University of Vienna,2023,7120.615786012,625364510.2473185,87824.49847607387,705473704.0100001,99074.81673085896
AT,AT0015,Medical University of Graz,2023,3993.5858749999998,312318683.2904884,78205.07510446072,352326706.62,88223.14522534213
AT,AT0016,Medical University of Innsbruck,2023,3513.6400000000003,244591133.8445173,69611.89360450054,275923258.09,78529.17717523706
AT,AT0017,Academy of Fine Arts Vienna,2023,1350.6,37660144.99601099,27884.010807056857,42484409.57,31455.952591440844
AT,AT0018,University of Applied Arts Vienna,2023,1763.275,56049937.27506426,31787.405410423366,63229934.239999995,35859.372043498595
AT,AT0019,University of Music and Performing Arts in Vienna,2023,2454.255555556,108496784.25671482,44207.61481464198,122395222.32,49870.61027239762
AT,AT0020,University Mozarteum Salzburg,2023,1352.585854485,60212804.1928907,44516.807560298534,67926064.41000001,50219.410608772785
AT,AT0021,University of Music and Performing Arts Graz,2023,1382.55253794,57327792.50952929,41465.18192715306,64671482.73,46776.87173202137
AT,AT0022,University of Art and Design Linz,2023,1190.689809911,27837010.672812693,23378.89384884667,31402931.74,26373.73015088393
BE,BE0056,KU Leuven,2023,56795.0,1125922881.5694835,19824.331042688325,1268048126.9099996,22326.756350206877
BE,BE0058,Hasselt University,2023,5325.0,119806158.9107021,22498.809185108374,134929290.35000002,25338.833868544607
BE,BE0059,University of Antwerp,2023,20065.0,342498958.4720705,17069.472139151283,385732602.0,19224.15160727635
BE,BE0060,Ghent University,2023,46540.0,761821511.5917708,16369.17730106942,857986241.0,18435.458551783413
BE,BE0061,The Vrije Universiteit Brussel,2023,18820.0,313252983.19171035,16644.685610611603,352794907.26,18745.744275239107
BE,BE0062,University college Arteveldehogeschool,2023,14255.0,106938037.01730552,7501.791442813435,120436825.43,8448.742576639776
BE,BE0064,Erasmus University College Brussels,2023,6425.0,55300091.24246379,8607.018092212264,62280621.76,9693.481985992217
BE,BE0066,Antwerp maritime academy,2023,500.0,8987299.947612831,17974.599895225663,10121766.82,20243.53364
BE,BE0068,University College Ghent,2023,16745.0,131220340.41891973,7836.3893949787835,147784283.98999998,8825.576828306956
BE,BE0071,"Howest, University College West Vlaanderen",2023,9095.0,61875258.50847518,6803.2169882875405,69685772.39,7661.987068719077
BE,BE0072,LUCA School of Arts,2023,3740.0,47319397.467657566,12652.245312207906,53292525.00999998,14249.33823796791
BE,BE0073,Karel de Grote University College,2023,13530.0,96235017.40319498,7112.7137770284535,108382763.65000027,8010.551637102755
BE,BE0074,Catholic University College Vives Noord,2023,4080.0,33601787.263702795,8235.732172476175,37843340.870000005,9275.328644607844
BE,BE0075,Thomas More Kempen,2023,7900.0,71562974.14382498,9058.604322003162,80596368.37,10202.071945569622
BE,BE0076,UC Leuven,2023,10060.0,73335310.06099997,7289.792252584491,82592426.25,8209.98272862823
BE,BE0077,UC Limburg,2023,5330.0,44625919.2172114,8372.592723679438,50259049.0,9429.465103189494
BE,BE0080,Catholic University College Vives Zuid,2023,11675.0,83206900.57093135,7126.92938509048,93710107.63,8026.561681370449
