country_code;all_heis;all_private_heis;all_public_heis;other_heis;private_universities;private_universities_of_applied_sciences;public_universities;public_universities_of_applied_sciences;universities;universities_of_applied_sciences
AD;;;;;;;;;;
AL;;;;;;;;;;
AT;13,47;10,86;15,08;14,07;13,28;;12,51;5,50;13,28;13,37
BE;19,40;;17,73;;;;17,73;18,44;17,73;21,33
BG;14,49;18,14;14,04;;18,14;19,82;14,04;;14,49;19,82
CH;8,40;27,31;8,29;7,54;;26,61;9,84;7,65;9,84;8,03
CY;16,67;17,45;10,32;9,15;31,78;16,67;13,25;4,77;24,96;15,56
CZ;16,34;30,19;11,32;24,95;35,10;;11,12;;11,32;
DE;15,30;22,37;13,84;9,61;14,20;24,41;12,07;17,73;12,16;19,29
DK;9,70;;9,70;;;;9,70;11,74;9,70;11,74
EE;9,55;21,22;;;21,22;;;;9,55;
ES;15,92;20,84;14,14;;20,84;;14,14;;15,92;
FI;18,83;;9,58;;;;9,58;;9,58;23,91
FR;18,88;;18,88;12,05;;;21,51;;21,51;
GR;40,36;;40,36;37,67;;;36,69;54,32;36,69;54,32
HR;13,60;14,27;11,91;25,29;24,82;13,60;12,01;11,80;12,22;13,60
HU;15,73;20,85;14,27;19,38;5,80;27,30;13,22;19,06;13,22;20,00
IE;15,57;;15,57;19,90;;;14,40;15,05;14,40;15,05
IS;7,68;;2,90;;;;2,90;;7,68;
IT;8,58;15,06;6,78;4,22;16,21;;19,18;;18,49;
LI;13,79;17,50;10,08;;17,50;;10,08;;13,79;
LT;13,26;18,91;13,05;;20,23;15,35;11,81;13,26;13,34;13,26
LU;4,78;;4,78;;;;4,78;;4,78;
LV;15,23;31,70;13,45;18,97;;35,79;13,53;12,45;13,53;14,14
ME;;;;;;;;;;
MK;13,37;7,71;14,55;;7,71;;14,55;;13,37;
MT;13,50;24,00;9,40;17,00;11,20;;9,05;;10,12;
NL;16,42;;13,65;;;;13,34;15,70;15,37;17,21
NO;12,36;47,76;12,18;14,03;;48,86;8,93;14,01;8,93;14,48
PL;17,17;49,50;10,58;39,00;30,99;;10,42;;10,51;
PT;15,24;15,68;14,99;9,25;15,87;15,43;15,57;14,48;15,76;14,86
RO;11,46;11,82;11,24;19,07;11,82;;11,24;;11,46;
RS;19,41;19,41;19,21;;19,29;;12,76;;14,72;
SE;22,93;;23,63;13,27;;;24,24;;23,63;
SI;10,59;;10,59;;;;10,59;;10,59;
SK;12,17;;12,17;;;;13,24;5,07;13,24;5,07
TR;;;;;;;;;;
UK;17,75;22,12;14,95;19,83;21,41;;16,90;;17,27;
VA;;;;;;;;;;
XK;;;;;;;;;;
