country_code;all_heis;all_private_heis;all_public_heis;other_heis;private_universities;private_universities_of_applied_sciences;public_universities;public_universities_of_applied_sciences;universities;universities_of_applied_sciences
AD;;;;;;;;;;
AL;;;;;;;;;;
AT;2023;2023;2023;2023;2023;;2023;2023;2023;2023
BE;2023;;2023;;;;2023;2023;2023;2023
BG;2016;2016;2016;;2016;2016;2016;;2016;2016
CH;2023;2023;2023;2023;;2023;2023;2023;2023;2023
CY;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023
CZ;2023;2023;2023;2023;2023;;2023;;2023;
DE;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023
DK;2023;;2023;;;;2023;2017;2023;2017
EE;2023;2023;;;2023;;;;2023;
ES;2023;2023;2023;;2023;;2023;;2023;
FI;2023;;2023;;;;2023;;2023;2023
FR;2014;;2014;2014;;;2014;;2014;
GR;2016;;2016;2016;;;2016;2016;2016;2016
HR;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023
HU;2023;2023;2023;2023;2023;2014;2023;2014;2023;2014
IE;2019;;2019;2019;;;2019;2019;2019;2019
IS;2023;;2020;;;;2020;;2023;
IT;2023;2023;2023;2023;2023;;2023;;2023;
LI;2023;2023;2023;;2023;;2023;;2023;
LT;2023;2023;2023;;2023;2023;2023;2023;2023;2023
LU;2023;;2023;;;;2023;;2023;
LV;2021;2021;2021;2021;;2021;2021;2021;2021;2021
ME;;;;;;;;;;
MK;2019;2019;2019;;2019;;2019;;2019;
MT;2023;2023;2023;2023;2023;;2023;;2023;
NL;2023;;2023;;;;2023;2023;2023;2023
NO;2023;2023;2023;2023;;2023;2023;2023;2023;2023
PL;2022;2022;2022;2022;2022;;2022;;2022;
PT;2023;2023;2023;2023;2023;2023;2023;2023;2023;2023
RO;2023;2023;2023;2019;2023;;2023;;2023;
RS;2023;2023;2023;;2023;;2023;;2023;
SE;2023;;2023;2023;;;2023;;2023;
SI;2016;;2016;;;;2016;;2016;
SK;2023;;2023;;;;2023;2023;2023;2023
TR;;;;;;;;;;
UK;2023;2023;2023;2023;2019;;2023;;2023;
VA;;;;;;;;;;
XK;;;;;;;;;;
