country_code,method,correlation,p_value,n_institutions
AT,pearson,0.28731487993981436,0.01185118893672646,76
BE,pearson,0.03649799035989622,0.8751936425293341,21
CH,pearson,-0.08762837808858093,0.5716540004970356,44
CY,pearson,0.5800968026007127,0.0006247414925972139,31
CZ,pearson,-0.21916315369573314,0.11851539543420461,52
DE,pearson,0.15841128522785924,0.0015649039640259494,396
ES,pearson,0.44822790474748625,1.058630239818004e-05,89
FI,pearson,-0.4037010172734471,0.01617475832298733,35
HR,pearson,-0.07396313470775467,0.6589856768606179,38
HU,pearson,0.04037317917958193,0.7807250219824451,50
IT,pearson,0.567999389236373,2.4555280091534037e-19,210
LT,pearson,0.012857624493706601,0.947220743498796,29
MT,pearson,-0.21081896527994734,0.4507277780632333,15
NL,pearson,0.16936314061194493,0.2164087108631826,55
NO,pearson,0.13942318090421224,0.46245889355765846,30
PL,pearson,-0.0076122462669052145,0.9022150763605865,263
PT,pearson,0.10432378619352732,0.3169926370307793,94
RO,pearson,0.14572022917582983,0.23219671751251633,69
RS,pearson,-0.03268856441257422,0.8412942323426468,40
SE,pearson,0.08495087512582744,0.6071202125714177,39
SK,pearson,0.20438027043831059,0.38740105196193986,20
UK,pearson,-0.06097975906453186,0.3910155197848328,200
AT,spearman,0.3632262474367738,0.0012599148596017264,76
BE,spearman,0.34025974025974026,0.1312375765277248,21
CH,spearman,0.31275546159267087,0.038731008978079115,44
CY,spearman,0.6415322580645162,0.00010050686565943583,31
CZ,spearman,-0.04422436608896098,0.7555676367634586,52
DE,spearman,0.14855492359914102,0.003043403535013169,396
ES,spearman,-0.2107346388112328,0.0474475600649566,89
FI,spearman,-0.23249299719887956,0.1789495973465411,35
HR,spearman,0.37047170843821825,0.022044442272768007,38
HU,spearman,0.23399759903961587,0.10193196483607758,50
IT,spearman,0.8670663144929646,7.283029010481599e-65,210
LT,spearman,-0.0073891625615763535,0.9696542382883606,29
MT,spearman,-0.1607142857142857,0.5671967045803447,15
NL,spearman,0.32640655163417825,0.015010889194201823,55
NO,spearman,0.20489432703003335,0.2774166832456207,30
PL,spearman,0.046481206683039476,0.45288514120027734,263
PT,spearman,0.1945330477271446,0.06026855502274166,94
RO,spearman,0.2579902628056878,0.03233437142331143,69
RS,spearman,0.2401500938086304,0.13553640205559134,40
SE,spearman,0.2410931174089069,0.13926083403714382,39
SK,spearman,0.41503759398496237,0.06880769728594094,20
UK,spearman,-0.023440423912292962,0.7418041772732903,200
